NAME,Northing,Easting,HAE,AZ
LCP-01,1605528.377,717418.553,1.151,99
LCP-02,1605620.326,717552.563,2.307,99
LCP-03,1605683.495,717697.043,1.490,99
LCP-04,1605768.160,717830.917,3.438,99
LCP-05,1605863.974,717960.246,4.093,99
LCP-06,1605655.491,717365.073,0.883,99
LCP-07,1605722.976,717476.276,2.762,99
LCP-08,1605811.713,717599.831,3.646,99
LCP-09,1605878.421,717757.886,6.726,99
LCP-10,1605953.416,717899.997,8.637,99
LCP-11,1605813.784,717283.176,2.202,99
LCP-12,1605865.322,717389.87,3.341,99
LCP-13,1605963.981,717514.39,4.580,99
LCP-14,1606027.335,717677.676,8.789,99
LCP-15,1606124.053,717803.261,11.184,99
LCP-16,1605930.336,717190.757,0.853,99
LCP-17,1606035.136,717335.724,1.051,99
LCP-18,1606085.675,717458.675,1.986,99
LCP-19,1606212.081,717551.85,5.141,99
LCP-20,1606241.924,717708.133,7.392,99
LCP-21,1606079.114,717071.043,0.097,99
LCP-22,1606163.019,717231.352,-0.663,99
LCP-23,1605901.416,717531.824,4.501,99
LCP-24,1606299.168,717477.921,4.177,99
LCP-25,1606381.581,717604.707,3.717,99
LCP-26,1606209.208,716985.734,-0.289,99
LCP-27,1606298.496,717136.305,0.421,99
LCP-28,1606355.043,717298.736,2.171,99
LCP-29,1606458.052,717400.039,4.290,99
LCP-30,1606525.877,717523.855,5.902,99
LCP-32,1606245.198,717382.116,0.638,99
