imageName X Y Z Omega Phi Kappa
S0004.JPG 717396.814917 1605368.253190 184.428232 1.391466 1.847938 -160.063779
S0005.JPG 717383.954737 1605389.494141 184.537871 0.934226 2.145995 -159.979192
S0006.JPG 717370.790816 1605410.829827 184.514498 1.269272 0.920897 -160.517373
S0007.JPG 717357.910877 1605431.809143 184.334286 0.818239 2.648827 -160.662597
S0008.JPG 717344.759770 1605453.437653 183.911404 2.588836 1.982792 -160.144476
S0009.JPG 717331.443467 1605474.573456 183.829412 2.760091 2.750009 -158.326729
S0010.JPG 717317.821386 1605495.483539 184.217817 2.533029 2.683050 -156.873749
S0011.JPG 717304.281566 1605516.451475 184.571689 1.251941 3.541747 -157.861932
S0012.JPG 717290.949013 1605537.637743 185.212492 -0.166570 1.526697 -156.257580
S0013.JPG 717277.446341 1605558.638500 185.322589 -1.558527 1.565317 -158.099587
S0014.JPG 717264.179144 1605579.818139 184.552265 -0.196858 0.976892 -157.797502
S0015.JPG 717250.931055 1605600.891443 184.226024 0.264633 1.538829 -158.999715
S0016.JPG 717237.313821 1605621.694719 184.297283 -0.097360 1.346726 -157.222256
S0017.JPG 717223.583789 1605642.601580 184.014820 0.703247 2.919208 -159.336613
S0018.JPG 717209.998097 1605663.572073 183.666103 2.514804 2.053682 -160.961815
S0019.JPG 717196.281651 1605684.468319 183.892415 2.525869 2.526762 -158.327467
S0020.JPG 717182.684373 1605705.268620 184.176698 1.160272 3.673582 -156.598748
S0021.JPG 717169.255228 1605726.118161 184.373944 1.279292 3.711601 -157.101360
S0022.JPG 717155.698900 1605747.311967 184.512109 1.261610 2.548825 -159.404384
S0023.JPG 717142.249447 1605768.257335 184.656483 1.252972 2.225522 -160.843885
S0024.JPG 717128.583912 1605789.286045 184.479862 0.600819 1.914805 -159.518027
S0025.JPG 717115.040895 1605810.432293 184.563502 0.651530 2.522000 -159.251272
S0026.JPG 717101.523534 1605831.531031 184.597749 0.634019 2.094013 -159.025962
S0027.JPG 717087.936944 1605852.675403 184.671525 0.319746 1.860645 -157.947594
S0028.JPG 717074.214006 1605873.582856 184.907763 -0.652058 2.047140 -159.868037
S0029.JPG 717061.082295 1605894.599555 184.938308 -1.412891 1.237098 -159.923862
S0030.JPG 717047.830131 1605916.415944 184.487383 -0.294988 1.249353 -160.870141
S0031.JPG 717034.805604 1605937.629069 184.062882 1.243933 1.269438 -160.637254
S0032.JPG 717021.794088 1605958.758133 184.365031 1.123128 1.300258 -158.289979
S0033.JPG 717008.176124 1605980.188210 184.444553 0.721612 1.171717 -158.453191
S0034.JPG 716994.268551 1606001.006647 184.219952 1.378806 2.106911 -158.835269
S0035.JPG 716980.811641 1606021.808956 184.013459 1.869875 2.593747 -157.471950
S0036.JPG 716967.025320 1606042.658430 184.212572 2.215611 2.374095 -156.757020
S0037.JPG 716953.290474 1606063.579815 184.376435 2.235574 2.455653 -157.665011
S0038.JPG 716939.613569 1606084.549833 184.621301 1.095467 1.818785 -154.435429
S0039.JPG 716926.223951 1606105.263646 184.544053 -0.060417 2.053060 -154.965545
S0040.JPG 716912.622991 1606126.471775 184.925939 -1.949008 1.579693 -153.822156
S0041.JPG 716899.256218 1606147.446453 185.157890 -3.048834 0.986240 -155.326464
S0042.JPG 716886.109922 1606168.725752 184.489117 -2.012445 -0.614173 -150.171647
S0043.JPG 716872.257648 1606190.124138 183.923245 -1.248251 1.506816 -150.329246
S0044.JPG 716858.849740 1606211.305330 184.243655 -1.380413 1.683310 -153.213971
S0045.JPG 716869.039023 1606250.512926 184.992029 1.909786 -1.571392 42.152698
S0046.JPG 716882.791560 1606229.558191 184.830857 1.739970 -1.846040 43.901095
S0047.JPG 716896.152677 1606208.624280 184.469596 1.482484 -2.317670 44.240329
S0048.JPG 716909.594471 1606187.316502 184.458067 -0.381948 -1.668838 42.995760
S0049.JPG 716922.752495 1606166.353176 184.643892 0.793829 -1.289431 43.528373
S0050.JPG 716935.882488 1606144.983334 185.025325 1.683706 -0.557048 40.214344
S0051.JPG 716948.858388 1606123.863051 184.933667 1.875977 0.860338 40.926825
S0052.JPG 716962.128707 1606102.588724 184.826873 1.726521 0.431580 44.373814
S0053.JPG 716974.906535 1606081.352042 184.271808 0.084311 -0.511185 45.534224
S0054.JPG 716987.945895 1606059.858334 183.634130 -0.930304 -1.291804 48.582825
S0055.JPG 717001.467677 1606038.674372 183.663346 -1.841666 -2.715659 50.551304
S0056.JPG 717015.219974 1606017.949084 184.164967 -0.365967 -3.964397 49.159487
S0057.JPG 717029.255798 1605997.170966 184.865510 -0.270444 -1.872607 52.369824
S0058.JPG 717043.546770 1605976.915172 184.627899 1.006675 -3.171303 51.337335
S0059.JPG 717057.938706 1605956.102620 184.346650 -0.008323 -4.985204 50.966019
S0060.JPG 717072.077904 1605935.606753 184.846677 0.045024 -3.901319 51.577019
S0061.JPG 717086.409613 1605914.950205 184.952054 1.926797 -5.566388 45.299444
S0062.JPG 717099.766414 1605893.599600 185.498670 0.224592 -1.924582 43.631950
S0063.JPG 717112.856654 1605873.057170 185.386748 1.466429 -1.961267 44.884623
S0064.JPG 717126.006268 1605851.136388 185.020900 0.130305 -1.635196 45.548208
S0065.JPG 717138.795480 1605829.423257 184.070930 -0.950893 -0.767147 45.812929
S0066.JPG 717152.045070 1605808.643989 184.029599 -0.497063 -3.217649 48.041379
S0067.JPG 717165.672751 1605787.347110 184.215160 0.357962 -4.206021 49.409202
S0068.JPG 717179.253623 1605766.536368 184.447241 -0.727411 -3.153367 45.892024
S0069.JPG 717192.939963 1605745.639486 184.970066 0.291201 -0.830683 49.379131
S0070.JPG 717207.524560 1605725.363216 185.215333 4.565942 -3.811339 50.579236
S0071.JPG 717221.678511 1605704.623499 185.266132 3.547203 -2.043625 42.012464
S0072.JPG 717235.291454 1605683.535054 185.272678 3.602467 -0.690143 42.450135
S0073.JPG 717248.210801 1605662.398330 184.814503 2.121763 -0.256116 43.389919
