x,y,z,sx,sy,sz
717443.03,1605924.49,3.31,0.0396,0.0254,0.1356
717523.92,1605971.22,3.90,0.0284,0.0253,0.1233
717749.55,1605747.57,14.09,0.0353,0.0882,0.2791
717698.24,1605677.36,1.28,0.0416,0.0251,0.1574
717683.46,1605810.72,4.26,0.0373,0.0390,0.1690
717737.69,1605597.58,3.17,0.0349,0.1798,0.4795
717697.77,1605655.12,3.09,0.4216,0.1368,1.6349
717808.93,1606270.43,27.03,0.1122,0.0887,0.3955
717474.84,1606398.30,10.67,0.0930,0.0847,0.3091
717093.70,1606311.96,-0.60,0.0093,0.0092,0.0422
717156.91,1605612.38,0.54,0.0719,0.0388,0.1932
717841.94,1606131.59,20.56,0.0285,0.0532,0.3408
717683.20,1605639.36,19.14,0.2238,0.0992,0.6029
717886.03,1606159.02,25.52,0.0796,0.0927,0.3027
717722.25,1605604.07,1.54,0.1020,0.2531,0.7648
717797.55,1605706.10,16.88,0.1600,0.1247,0.4777
717691.63,1605629.68,7.02,0.5038,0.3386,1.6812
717889.44,1606155.24,24.54,0.0974,0.1008,0.3494
717806.59,1605679.66,13.17,0.3854,0.1277,1.0362
717476.03,1605941.02,4.04,0.0836,0.0411,0.2678
717548.07,1605951.60,4.19,0.0478,0.0479,0.2921
717502.40,1605938.09,10.24,0.1199,0.1748,0.7521
717548.31,1605983.53,4.54,0.0330,0.0213,0.2031
717571.17,1605945.86,4.55,0.0547,0.0382,0.1980
717520.66,1605938.60,15.29,0.0844,0.1851,0.8351
717486.59,1605974.43,3.46,0.0478,0.0239,0.3449
717577.02,1605970.07,4.63,0.1206,0.0210,0.3117
717463.27,1605983.77,7.51,0.3793,0.1480,1.3940
717589.37,1605956.83,4.93,0.1281,0.0296,0.3461
717442.09,1605944.77,2.97,0.1365,0.0222,0.3062
717494.42,1605938.19,10.49,0.2012,0.1026,1.1109
717575.77,1605975.00,4.71,0.1256,0.0638,0.4091
717194.82,1606475.19,1.44,0.0216,0.0605,0.2070
717190.15,1606470.14,0.02,0.0254,0.0598,0.2258
717502.32,1605952.62,3.92,0.0405,0.0420,0.3095
717497.81,1605924.61,12.18,0.0489,0.0858,0.4922
717257.96,1605641.24,1.59,0.0130,0.0126,0.0555
717180.64,1605624.70,0.55,0.0938,0.0442,0.2758
717474.34,1605968.63,11.86,0.1227,0.0729,0.6640
717630.66,1605744.85,8.71,0.1237,0.1019,0.6182
717753.98,1605653.69,3.41,0.0623,0.1289,0.4872
717165.88,1605607.49,0.61,0.0494,0.0256,0.1306
717533.78,1606014.44,3.73,0.0833,0.1238,0.3924
717508.42,1605929.58,5.81,0.0556,0.0296,0.2539
717702.21,1605624.90,10.18,0.1588,0.0465,0.6507
717104.11,1606298.68,-0.60,0.0086,0.0091,0.0375
717443.37,1606436.19,3.75,0.0447,0.0526,0.1970
717786.38,1606077.10,11.74,0.1018,0.0628,0.2921
717644.70,1606172.01,15.44,0.0341,0.0198,0.1288
717281.37,1605845.92,15.53,0.0329,0.1304,0.3013
717602.94,1605593.92,17.07,0.3612,0.2107,1.0200
717534.34,1605983.26,3.58,0.0222,0.0577,0.2371
717498.53,1605959.98,3.40,0.0682,0.0270,0.2761
717506.64,1605939.73,9.71,0.1753,0.1081,0.8619
716803.68,1606220.15,-1.14,0.1383,0.0317,0.3830
717701.42,1605649.45,2.34,0.0636,0.0413,0.2767
717567.46,1605983.90,11.51,0.1111,0.0281,0.2563
717558.44,1605994.75,3.04,0.2763,0.1159,0.7425
717720.22,1605654.36,16.29,0.0518,0.0327,0.3335
717713.83,1605624.85,2.65,0.0964,0.0225,0.3216
717727.94,1605593.37,8.74,0.0438,0.1690,0.4074
717581.18,1605787.46,12.40,0.3292,0.0965,1.1727
717583.74,1605796.16,12.37,0.1512,0.0679,0.5587
717880.31,1606115.97,16.25,0.0692,0.0262,0.3211
717782.29,1605684.70,15.44,0.1615,0.0845,0.6403
