imageName X Y Z Omega Phi Kappa
A0619.JPG 717540.946354 1606033.020392 184.242828 20.046548 -38.541694 -60.632307
D0619.JPG 717540.985920 1606032.925722 184.241078 -22.038049 42.758078 122.204365
S0619.JPG 717540.964836 1606032.973174 184.219961 -0.104181 3.214206 -157.294521
W0619.JPG 717541.013167 1606032.992948 184.239146 -40.380016 -13.886723 -160.953019
X0619.JPG 717540.918962 1606032.953479 184.244508 43.352123 18.337984 15.061220
A0620.JPG 717527.297628 1606053.989871 184.238302 20.691181 -39.743445 -59.933689
D0620.JPG 717527.337375 1606053.895268 184.237126 -21.468877 41.503301 121.659444
S0620.JPG 717527.316706 1606053.942763 184.215699 0.095421 1.899013 -157.204853
W0620.JPG 717527.364551 1606053.962542 184.236057 -40.377889 -14.946718 -161.762201
X0620.JPG 717527.270312 1606053.922910 184.239116 43.243494 17.442272 16.077566
A0621.JPG 717513.539148 1606074.946286 184.182440 19.815659 -39.120822 -62.002505
D0621.JPG 717513.576728 1606074.850832 184.179770 -20.308879 43.023474 120.586937
S0621.JPG 717513.556712 1606074.898943 184.159112 0.589566 3.028562 -158.496378
W0621.JPG 717513.605383 1606074.917489 184.178659 -40.001230 -13.249681 -162.016543
X0621.JPG 717513.510355 1606074.879948 184.183301 44.219481 17.376678 14.281676
A0622.JPG 717499.897047 1606096.013981 184.093197 20.892488 -38.772167 -60.092442
D0622.JPG 717499.937144 1606095.919548 184.090860 -21.672907 42.303816 122.416744
S0622.JPG 717499.915933 1606095.967070 184.070031 0.387825 2.851635 -156.978819
W0622.JPG 717499.964032 1606095.986937 184.089697 -39.869743 -14.367148 -160.946613
X0622.JPG 717499.870014 1606095.946907 184.094109 43.702558 18.291041 15.564900
A0623.JPG 717486.629112 1606117.102561 184.148718 21.373672 -39.098962 -59.041344
D0623.JPG 717486.670289 1606117.008579 184.147102 -22.188116 41.506800 122.919532
S0623.JPG 717486.648765 1606117.055795 184.125900 0.179549 2.255249 -156.330425
W0623.JPG 717486.696429 1606117.076263 184.146005 -40.020224 -15.240812 -160.833482
X0623.JPG 717486.602826 1606117.035190 184.149562 43.232066 18.299465 16.492219
A0624.JPG 717473.507186 1606138.328019 184.095435 22.833097 -40.130303 -56.739248
D0624.JPG 717473.550442 1606138.234961 184.095028 -22.659280 39.528038 123.631383
S0624.JPG 717473.528498 1606138.281698 184.073204 0.139143 0.636000 -155.070504
W0624.JPG 717473.575113 1606138.303202 184.094640 -40.053037 -17.290539 -160.919858
X0624.JPG 717473.482369 1606138.260088 184.095565 42.560587 17.964953 18.621939
A0625.JPG 717459.984886 1606159.332453 183.959017 22.455430 -38.988109 -58.479798
D0625.JPG 717460.026797 1606159.238822 183.956252 -21.804814 41.284182 123.440858
S0625.JPG 717460.004926 1606159.286134 183.935629 0.890214 2.199482 -155.883555
W0625.JPG 717460.052409 1606159.306715 183.956043 -39.208046 -15.571354 -160.516743
X0625.JPG 717459.959125 1606159.264874 183.958976 43.838589 18.563218 16.876537
A0626.JPG 717446.364243 1606180.322855 184.046259 21.891154 -38.404589 -58.896248
D0626.JPG 717446.405990 1606180.229150 184.043507 -22.263135 41.929088 123.673395
S0626.JPG 717446.383948 1606180.276385 184.022887 0.590251 2.861416 -155.972967
W0626.JPG 717446.431692 1606180.297005 184.042641 -39.414210 -15.007184 -160.146063
X0626.JPG 717446.338390 1606180.255314 184.046875 43.710433 18.986100 16.330463
A0627.JPG 717432.778523 1606201.290574 184.056899 21.930858 -38.936453 -59.392218
D0627.JPG 717432.819373 1606201.196485 184.053826 -21.333211 41.812202 122.803958
S0627.JPG 717432.797918 1606201.244056 184.033362 0.965775 2.504932 -156.526514
W0627.JPG 717432.845738 1606201.264089 184.053532 -39.239034 -14.923648 -160.821542
X0627.JPG 717432.752012 1606201.223285 184.056945 44.114025 18.347905 16.161810
A0628.JPG 717419.204691 1606222.293405 184.349620 21.639159 -38.554062 -59.264679
D0628.JPG 717419.245909 1606222.199464 184.346928 -22.005677 42.021374 123.254438
S0628.JPG 717419.224145 1606222.246814 184.326277 0.583548 2.826236 -156.296305
W0628.JPG 717419.271994 1606222.267173 184.346050 -39.508840 -14.826323 -160.425321
X0628.JPG 717419.178456 1606222.226010 184.350248 43.759966 18.739578 16.106903
A0629.JPG 717405.526081 1606243.203121 184.445745 20.919468 -37.330001 -59.384701
D0629.JPG 717405.567830 1606243.109410 184.443261 -23.367721 42.968140 124.314533
S0629.JPG 717405.545348 1606243.156389 184.422532 -0.083279 4.002742 -155.944792
W0629.JPG 717405.593462 1606243.177261 184.441088 -39.890009 -14.149699 -159.367231
X0629.JPG 717405.500292 1606243.135580 184.447668 43.306973 19.836625 15.522959
A0630.JPG 717392.207955 1606264.351050 184.282048 21.567259 -38.673814 -60.509355
D0630.JPG 717392.247599 1606264.256482 184.278023 -20.578077 42.595638 122.180792
S0630.JPG 717392.226536 1606264.304436 184.258050 1.337369 3.057043 -157.249880
W0630.JPG 717392.274798 1606264.323755 184.277860 -38.952832 -14.035437 -161.022688
X0630.JPG 717392.180610 1606264.284096 184.281965 44.749685 18.254505 15.209118
A0631.JPG 717378.884283 1606285.566876 184.429746 21.481343 -39.154412 -59.380669
D0631.JPG 717378.925023 1606285.472715 184.427570 -21.662749 41.647188 122.612778
S0631.JPG 717378.903702 1606285.520148 184.406651 0.511904 2.298196 -156.596193
W0631.JPG 717378.951475 1606285.540282 184.426832 -39.745774 -15.036515 -161.014784
X0631.JPG 717378.857685 1606285.499623 184.430233 43.627382 18.149436 16.257140
A0632.JPG 717365.677719 1606306.688510 184.405563 22.029495 -39.823767 -58.330917
D0632.JPG 717365.719315 1606306.594707 184.404245 -21.892485 40.603932 122.780467
S0632.JPG 717365.697917 1606306.641909 184.382883 0.376039 1.380192 -156.084452
W0632.JPG 717365.745180 1606306.662503 184.403787 -39.921785 -16.067545 -161.225766
X0632.JPG 717365.651709 1606306.621026 184.405766 43.183270 17.826201 17.308456
A0633.JPG 717352.254679 1606327.874686 184.260443 22.173471 -39.483398 -58.196332
D0633.JPG 717352.296635 1606327.781048 184.258829 -22.102039 40.776257 123.190986
S0633.JPG 717352.274950 1606327.828187 184.237619 0.428239 1.658129 -155.862251
W0633.JPG 717352.322233 1606327.848946 184.258315 -39.763369 -15.998902 -160.862529
X0633.JPG 717352.228935 1606327.807101 184.260703 43.249796 18.181045 17.281168
A0634.JPG 717338.829868 1606348.957001 184.297066 20.905117 -39.562272 -59.140021
D0634.JPG 717338.870663 1606348.862840 184.296406 -22.265146 41.222391 122.421713
S0634.JPG 717338.849487 1606348.909993 184.274719 -0.217919 1.850724 -156.568990
W0634.JPG 717338.897092 1606348.930406 184.295015 -40.547684 -15.395401 -161.293191
X0634.JPG 717338.803295 1606348.889747 184.298200 42.792845 17.841073 16.599273
A0635.JPG 717325.263130 1606369.919202 184.069604 18.841471 -39.680849 -63.287961
D0635.JPG 717325.298840 1606369.823022 184.067326 -19.414749 43.217126 119.047406
S0635.JPG 717325.279843 1606369.871459 184.046467 0.488577 2.818333 -159.618573
W0635.JPG 717325.328800 1606369.889102 184.066135 -40.386538 -12.677645 -163.028763
