imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
A0619.JPG, 1, Camera_43.0_6000x4000 (RGB)(2), 717540.946354, 1606033.020392, 184.242828, 717540.784949, 1606031.209720, 186.760500, 5.000000, 5.000000, 10.000000, 20.046548, -38.541694, -60.632307, 0.026564, 0.034575, 0.020323, 0.011832, 0.008204, 0.007424, 1.000000
D0619.JPG, 2, Camera_43.0_6000x4000 (RGB)(3), 717540.985920, 1606032.925722, 184.241078, 717540.784949, 1606031.209720, 186.760500, 5.000000, 5.000000, 10.000000, -22.038049, 42.758078, 122.204365, 0.026564, 0.034575, 0.020323, 0.012779, 0.007699, 0.009710, 1.000000
S0619.JPG, 0, Camera_MID_28.0_6000x4000 (RGB)(1), 717540.964836, 1606032.973174, 184.219961, 717540.784949, 1606031.209720, 186.760500, 5.000000, 5.000000, 10.000000, -0.104181, 3.214206, -157.294521, 0.026564, 0.034575, 0.020323, 0.009140, 0.010798, 0.002778, 1.000000
W0619.JPG, 3, Camera_43.0_6000x4000 (RGB)(4), 717541.013167, 1606032.992948, 184.239146, 717540.784949, 1606031.209720, 186.760500, 5.000000, 5.000000, 10.000000, -40.380016, -13.886723, -160.953019, 0.026564, 0.034575, 0.020323, 0.009407, 0.008280, 0.007180, 1.000000
X0619.JPG, 4, Camera_43.0_6000x4000 (RGB)(5), 717540.918962, 1606032.953479, 184.244508, 717540.784949, 1606031.209720, 186.760500, 5.000000, 5.000000, 10.000000, 43.352123, 18.337984, 15.061220, 0.026564, 0.034575, 0.020323, 0.010152, 0.007317, 0.008250, 1.000000
A0620.JPG, 1, Camera_43.0_6000x4000 (RGB)(2), 717527.297628, 1606053.989871, 184.238302, 717527.241306, 1606052.236665, 186.820300, 5.000000, 5.000000, 10.000000, 20.691181, -39.743445, -59.933689, 0.025669, 0.028267, 0.020017, 0.010959, 0.006393, 0.006227, 1.000000
D0620.JPG, 2, Camera_43.0_6000x4000 (RGB)(3), 717527.337375, 1606053.895268, 184.237126, 717527.241306, 1606052.236665, 186.820300, 5.000000, 5.000000, 10.000000, -21.468877, 41.503301, 121.659444, 0.025669, 0.028267, 0.020017, 0.011398, 0.006158, 0.007400, 1.000000
S0620.JPG, 0, Camera_MID_28.0_6000x4000 (RGB)(1), 717527.316706, 1606053.942763, 184.215699, 717527.241306, 1606052.236665, 186.820300, 5.000000, 5.000000, 10.000000, 0.095421, 1.899013, -157.204853, 0.025669, 0.028267, 0.020017, 0.007152, 0.010274, 0.002281, 1.000000
W0620.JPG, 3, Camera_43.0_6000x4000 (RGB)(4), 717527.364551, 1606053.962542, 184.236057, 717527.241306, 1606052.236665, 186.820300, 5.000000, 5.000000, 10.000000, -40.377889, -14.946718, -161.762201, 0.025669, 0.028267, 0.020017, 0.007360, 0.007828, 0.006971, 1.000000
X0620.JPG, 4, Camera_43.0_6000x4000 (RGB)(5), 717527.270312, 1606053.922910, 184.239116, 717527.241306, 1606052.236665, 186.820300, 5.000000, 5.000000, 10.000000, 43.243494, 17.442272, 16.077566, 0.025669, 0.028267, 0.020017, 0.007746, 0.007117, 0.007757, 1.000000
A0621.JPG, 1, Camera_43.0_6000x4000 (RGB)(2), 717513.539148, 1606074.946286, 184.182440, 717513.472131, 1606073.167553, 186.811000, 5.000000, 5.000000, 10.000000, 19.815659, -39.120822, -62.002505, 0.025369, 0.027794, 0.020047, 0.010419, 0.006772, 0.006262, 1.000000
D0621.JPG, 2, Camera_43.0_6000x4000 (RGB)(3), 717513.576728, 1606074.850832, 184.179770, 717513.472131, 1606073.167553, 186.811000, 5.000000, 5.000000, 10.000000, -20.308879, 43.023474, 120.586937, 0.025369, 0.027794, 0.020047, 0.011074, 0.006475, 0.008098, 1.000000
