GCP label, GCP measured X, GCP measured Y, GCP measured Z, GCP estimated X, GCP estimated Y, GCP estimated Z, GCP weight, GCP visible in # images
LCP-19, 717551.84999999997671693563, 1606212.08100000000558793545, 5.14100000000000001421, 717551.83679713145829737186, 1606212.07950716000050306320, 5.14611431555616505307, 0.99999981074384913793, 21
LCP-20, 717708.13300000003073364496, 1606241.92400000011548399925, 7.39200000000000034817, 717708.14704555401112884283, 1606241.93700950709171593189, 7.35894116367107820054, 0.99999967957822855080, 21
LCP-24, 717477.92099999997299164534, 1606299.16800000006332993507, 4.17699999999999960210, 717477.92212453391402959824, 1606299.14511866262182593346, 4.17567156761985547320, 0.99999978263121369615, 21
LCP-25, 717604.70700000005308538675, 1606381.58100000000558793545, 3.71700000000000008171, 717604.72268662077840417624, 1606381.59608350787311792374, 3.69857290951302575266, 0.99999973758689952863, 21
LCP-29, 717400.03899999998975545168, 1606458.05199999990873038769, 4.29000000000000003553, 717400.04914555256254971027, 1606458.01806759787723422050, 4.25193709442996148340, 0.99999939143189520152, 21
LCP-30, 717523.85499999998137354851, 1606525.87700000009499490261, 5.90200000000000013500, 717523.86525642138440161943, 1606525.88680016342550516129, 5.90101259916076070766, 0.99999981458197051420, 21
GCP-02, 717428.90000000002328306437, 1606454.32000000006519258022, 3.45500000000000007105, 717428.89457596675492823124, 1606454.31285504763945937157, 3.48217356408715383864, 0.99999977908806636506, 21
GCP-05, 717609.15300000004936009645, 1606432.60199999995529651642, 5.64299999999999979394, 717609.16682432685047388077, 1606432.62760531622916460037, 5.67773822279250772738, 0.99999955237898607852, 21
GCP-07, 717504.49199999996926635504, 1606286.26200000010430812836, 3.90099999999999980105, 717504.48083256708923727274, 1606286.25970783876255154610, 3.91515177685826998299, 0.99999980724386183795, 21
GCP-09, 717616.27800000004936009645, 1606070.65400000009685754776, 5.90299999999999958078, 717616.25100546621251851320, 1606070.64397071581333875656, 5.90267682657484904496, 0.99999965551796721197, 21
GCP-10, 717745.28300000005401670933, 1606169.40699999989010393620, 9.89899999999999913314, 717745.27470535761676728725, 1606169.42127422383055090904, 9.91000726470167414561, 0.99999980011474209896, 21
