Camera_MID_28.0_6000x4000 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, 0.0571149, 0.181503, -0.182908, 0.168071, -0.155082, -0.0453815, 0.0229936
0.0571149, 1, 0.0279101, 0.000552484, 0.000311753, 0.00251615, 0.0229375, 0.790901
0.181503, 0.0279101, 1, 0.0012641, 0.000372868, 0.00128072, 0.507801, 0.0298298
-0.182908, 0.000552484, 0.0012641, 1, -0.965858, 0.907934, -0.00720836, 0.0432287
0.168071, 0.000311753, 0.000372868, -0.965858, 1, -0.983029, 0.0250915, -0.0329863
-0.155082, 0.00251615, 0.00128072, 0.907934, -0.983029, 1, -0.0342577, 0.0322071
-0.0453815, 0.0229375, 0.507801, -0.00720836, 0.0250915, -0.0342577, 1, 0.0302177
0.0229936, 0.790901, 0.0298298, 0.0432287, -0.0329863, 0.0322071, 0.0302177, 1
Camera_43.0_6000x4000 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, 0.0963641, -0.0925519, -0.674867, 0.607189, -0.545785, -0.0551055, 0.0750656
0.0963641, 1, -0.16518, -0.022417, 0.0234904, -0.0212203, -0.0934357, 0.95617
-0.0925519, -0.16518, 1, -0.131308, 0.104488, -0.0954694, 0.645079, -0.240784
-0.674867, -0.022417, -0.131308, 1, -0.970955, 0.917325, -0.0407068, -0.00684578
0.607189, 0.0234904, 0.104488, -0.970955, 1, -0.983688, 0.0224132, 0.0116665
-0.545785, -0.0212203, -0.0954694, 0.917325, -0.983688, 1, -0.0310288, -0.0086229
-0.0551055, -0.0934357, 0.645079, -0.0407068, 0.0224132, -0.0310288, 1, -0.0960319
0.0750656, 0.95617, -0.240784, -0.00684578, 0.0116665, -0.0086229, -0.0960319, 1
Camera_43.0_6000x4000 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, 0.0103946, -0.107769, -0.673365, 0.599645, -0.537174, -0.0364106, -0.00139925
0.0103946, 1, -0.0200317, -0.0864855, 0.0712529, -0.065495, 0.0815306, 0.955535
-0.107769, -0.0200317, 1, -0.0586428, 0.0587812, -0.060047, 0.617847, -0.00232068
-0.673365, -0.0864855, -0.0586428, 1, -0.972369, 0.920293, -0.0888677, -0.109504
0.599645, 0.0712529, 0.0587812, -0.972369, 1, -0.984159, 0.0627209, 0.0850349
-0.537174, -0.065495, -0.060047, 0.920293, -0.984159, 1, -0.0638853, -0.0688408
-0.0364106, 0.0815306, 0.617847, -0.0888677, 0.0627209, -0.0638853, 1, 0.0896901
-0.00139925, 0.955535, -0.00232068, -0.109504, 0.0850349, -0.0688408, 0.0896901, 1
Camera_43.0_6000x4000 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, 0.0576956, 0.0221881, -0.753493, 0.690434, -0.633558, 0.137626, 0.0475157
0.0576956, 1, 0.154251, 0.0471575, -0.0671172, 0.0711209, 0.213091, 0.959652
0.0221881, 0.154251, 1, -0.171847, 0.122301, -0.102345, 0.928764, 0.149264
-0.753493, 0.0471575, -0.171847, 1, -0.975331, 0.930231, -0.180427, 0.0416749
0.690434, -0.0671172, 0.122301, -0.975331, 1, -0.987102, 0.118374, -0.057554
-0.633558, 0.0711209, -0.102345, 0.930231, -0.987102, 1, -0.0955506, 0.0564516
0.137626, 0.213091, 0.928764, -0.180427, 0.118374, -0.0955506, 1, 0.193071
0.0475157, 0.959652, 0.149264, 0.0416749, -0.057554, 0.0564516, 0.193071, 1
Camera_43.0_6000x4000 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.227506, -0.192344, -0.840933, 0.747738, -0.661906, -0.125413, -0.290376
-0.227506, 1, 0.123742, 0.245792, -0.234084, 0.193148, 0.13712, 0.907114
-0.192344, 0.123742, 1, 0.0733621, -0.0734397, 0.0656438, 0.851477, 0.108762
-0.840933, 0.245792, 0.0733621, 1, -0.966571, 0.90517, 0.115414, 0.287399
0.747738, -0.234084, -0.0734397, -0.966571, 1, -0.980584, -0.125716, -0.288624
-0.661906, 0.193148, 0.0656438, 0.90517, -0.980584, 1, 0.109364, 0.243277
-0.125413, 0.13712, 0.851477, 0.115414, -0.125716, 0.109364, 1, 0.139801
-0.290376, 0.907114, 0.108762, 0.287399, -0.288624, 0.243277, 0.139801, 1
