x,y,z,sx,sy,sz
717565.36,1606272.42,9.46,0.1102,0.1693,0.2074
717632.71,1606186.28,4.59,0.2063,0.0802,0.2427
717459.15,1605983.72,2.61,0.1708,0.1276,0.5653
717632.70,1606187.35,5.01,0.1398,0.0991,0.1895
717470.40,1605984.34,7.26,0.4395,0.3629,1.7035
717573.54,1606022.40,11.00,0.3778,0.0769,1.0704
717522.55,1605989.90,10.05,0.0751,0.1668,0.8399
717638.67,1606207.53,18.90,0.0327,0.0866,0.3155
717634.57,1606133.20,4.41,0.2169,0.1655,0.3597
717521.35,1606265.75,11.42,0.0176,0.0180,0.0945
717582.29,1606169.12,9.58,0.0477,0.0231,0.1281
717543.86,1606239.92,4.97,0.0351,0.0779,0.1076
717585.54,1606207.99,5.25,0.0718,0.0337,0.2267
717511.78,1605953.57,2.90,0.0263,0.1459,0.3809
717526.85,1606003.80,4.60,0.0288,0.0345,0.2756
717496.17,1605976.53,9.44,0.1806,0.3850,1.4620
717448.19,1605995.14,2.79,0.1072,0.0495,0.2968
717514.21,1605963.83,3.89,0.0406,0.1937,0.5918
717508.02,1605954.07,3.09,0.0385,0.1985,0.5213
717515.25,1605978.27,13.69,0.0413,0.0880,0.3178
717547.14,1606024.20,4.15,0.0361,0.0256,0.3045
717606.43,1606028.56,9.53,0.2264,0.0483,0.5060
717486.44,1605978.27,3.76,0.0791,0.0788,0.3094
717764.39,1606356.80,15.78,0.0738,0.0476,0.2266
717748.92,1606360.86,10.44,0.0589,0.0606,0.2605
717738.09,1606376.17,17.07,0.0686,0.1308,0.3951
717645.41,1606317.90,10.22,0.3950,0.0772,1.0190
717757.16,1606367.30,13.88,0.0650,0.0646,0.2354
717755.49,1606371.55,15.23,0.0949,0.1068,0.3543
717685.42,1606228.13,3.69,0.0591,0.0458,0.2220
717671.53,1606190.92,15.99,0.0408,0.0199,0.1904
717626.93,1606171.41,13.41,0.0616,0.0696,0.4133
717726.88,1606363.56,13.95,0.0554,0.1168,0.4708
717709.16,1606357.15,13.22,0.0193,0.0557,0.2511
717633.29,1606314.98,10.53,0.3010,0.0549,0.6594
717752.59,1606374.75,15.37,0.1583,0.1911,0.6149
717565.50,1606203.16,5.21,0.1692,0.0274,0.3576
717713.88,1606365.55,13.49,0.0429,0.1523,0.5791
717664.19,1606212.55,13.31,0.0230,0.0706,0.3147
717690.52,1606223.27,4.87,0.0525,0.0500,0.2266
717671.11,1606223.19,6.89,0.0985,0.3097,1.1480
717375.82,1606004.11,2.15,0.2051,0.1270,0.2864
717333.83,1605976.22,1.15,0.2832,0.1811,0.3044
717290.79,1605949.50,10.24,1.5769,0.9906,1.2703
717442.49,1606011.32,2.56,0.1386,0.1164,0.4563
717342.19,1605976.13,1.53,0.3348,0.2184,0.3721
717426.47,1606027.82,2.86,0.3903,0.2460,1.1445
717392.99,1606017.86,10.35,0.1364,0.0826,0.2110
717321.33,1605962.35,9.27,0.7840,0.5278,0.7438
717618.56,1606192.27,16.85,0.1240,0.0529,0.4619
717331.26,1605965.25,2.05,0.6823,0.4731,0.7117
717357.85,1605988.20,2.31,0.3980,0.2601,0.4869
717361.92,1605981.56,2.33,0.4883,0.3510,0.6136
717621.61,1605923.00,6.73,0.7801,1.1020,1.2039
717350.71,1605993.19,1.32,0.6393,0.3749,0.7469
717352.45,1605996.96,2.11,0.2041,0.1395,0.2553
717349.33,1606015.19,1.82,1.3923,0.6264,1.6106
717660.70,1606196.65,11.30,0.2556,0.1640,0.2754
717591.46,1605922.98,7.06,0.8833,1.6893,1.8460
717669.04,1606211.87,4.78,0.2242,0.1764,0.2492
717639.33,1606191.13,4.85,0.6927,0.5596,0.9384
717657.76,1606206.08,6.81,0.2435,0.1948,0.2863
717686.59,1606215.23,6.33,0.6826,0.4920,0.6742
717615.86,1606158.66,16.02,0.4329,0.2932,0.6653
717641.30,1606181.23,13.29,0.4244,0.3096,0.5417
717608.28,1606154.47,16.81,0.3736,0.2567,0.6138
717607.01,1606155.79,16.04,0.2193,0.1595,0.3696
717395.39,1606261.45,0.05,0.1847,0.2908,0.3252
717402.57,1606242.18,0.78,0.3100,0.4658,0.5468
717379.86,1606277.21,2.56,0.8392,1.2675,1.1980
717408.36,1606228.87,0.56,0.2191,0.3189,0.4099
717412.01,1606241.21,0.82,0.1031,0.1682,0.2158
717500.09,1606010.69,3.39,0.0254,0.0510,0.0925
717621.09,1606149.93,13.20,0.0612,0.0354,0.2225
717647.64,1606201.36,5.05,0.0494,0.0597,0.2677
717655.58,1606175.03,15.28,0.1518,0.1123,0.6406
717594.43,1606175.79,15.27,0.2085,0.0375,0.5114
717631.66,1606329.43,4.45,0.2161,0.0357,0.4887
717692.39,1606355.45,14.75,0.0916,0.1410,0.6727
717644.86,1606203.36,15.32,0.0431,0.0558,0.3314
717610.35,1606105.22,13.97,0.0329,0.1058,0.2552
717610.89,1606153.38,16.28,0.0562,0.0800,0.3222
717609.10,1606161.93,12.54,0.1204,0.1101,0.4972
717650.72,1606216.08,20.18,0.0792,0.1438,1.0418
717621.31,1606211.80,16.87,0.0555,0.0348,0.3044
717594.10,1606187.01,17.07,0.1046,0.0313,0.3130
717598.42,1606191.23,17.21,0.1913,0.0514,0.6146
717629.92,1606236.73,5.26,0.0450,0.0813,0.3603
717624.11,1606201.56,19.90,0.0309,0.0223,0.1248
717842.34,1606223.23,30.36,0.0687,0.0408,0.2047
717447.42,1606511.94,4.76,0.0216,0.0263,0.0708
717417.58,1606513.52,8.13,0.0388,0.0547,0.1782
717382.27,1606446.41,11.27,0.0963,0.0350,0.3354
717375.88,1606444.20,10.94,0.0774,0.0266,0.2375
717366.77,1606269.14,0.62,0.0110,0.0109,0.0429
717364.85,1606271.77,2.11,0.0236,0.0203,0.0821
717366.99,1606334.42,2.78,0.0154,0.0169,0.0682
717369.14,1606293.40,2.33,0.0217,0.0189,0.0863
717398.43,1606317.25,3.62,0.0155,0.0129,0.0700
717383.28,1606306.20,2.06,0.0265,0.0260,0.1050
717380.88,1606370.56,16.96,0.0285,0.0306,0.1717
717404.05,1606302.32,0.31,0.0104,0.0107,0.0417
717386.17,1606334.74,4.25,0.0204,0.0202,0.1217
717636.43,1606163.41,14.16,0.0400,0.0483,0.4321
717334.11,1606331.39,1.66,0.0250,0.0158,0.0771
717368.16,1606331.24,2.72,0.0096,0.0097,0.0419
717375.67,1606323.93,2.26,0.0151,0.0150,0.0598
717288.60,1605991.69,6.06,0.4076,0.2076,0.3494
717415.42,1606340.66,19.74,0.0114,0.0111,0.0467
717358.33,1606363.49,9.07,0.0119,0.0129,0.0494
717432.77,1606506.24,4.11,0.0342,0.0684,0.2670
717402.12,1606200.22,0.42,0.2237,0.3546,0.5674
717356.36,1606279.07,2.06,0.9438,1.5497,1.4636
717558.65,1606554.22,16.61,0.0298,0.0266,0.1146
717632.82,1606205.14,20.23,0.0582,0.0484,0.2860
717711.62,1605959.12,8.56,0.4027,0.2777,0.3389
717331.78,1606349.91,3.58,0.0203,0.0187,0.0847
717517.01,1606558.21,6.40,0.0166,0.0161,0.0870
717375.78,1606454.49,11.70,0.3864,0.1371,1.3934
717361.69,1606421.57,9.12,0.2178,0.0931,0.6298
717639.14,1606210.80,19.56,0.0637,0.0548,0.2800
717638.18,1606205.59,18.59,0.0357,0.0430,0.1987
717616.51,1606205.14,18.67,0.0265,0.0575,0.2524
717562.10,1606164.23,8.10,0.0764,0.0261,0.2581
717627.94,1606146.63,8.43,0.0343,0.0589,0.2998
717648.08,1606216.25,17.67,0.0517,0.0619,0.2215
717616.91,1606165.42,13.32,0.0235,0.0196,0.0811
717542.31,1606144.15,5.13,0.6559,0.1206,1.6968
717549.95,1606126.30,8.30,0.1713,0.0708,0.4939
717668.99,1606159.01,15.75,0.0842,0.0248,0.2388
717622.13,1606156.23,14.18,0.0748,0.0698,0.4446
717633.36,1606122.93,5.78,0.3853,0.2647,0.6427
717363.31,1606445.70,13.31,0.0951,0.0206,0.2660
717349.97,1606403.12,3.07,0.3006,0.1647,0.7366
717672.31,1606192.61,13.88,0.0397,0.0215,0.1697
717692.12,1606230.36,5.61,0.1052,0.0428,0.2786
717358.91,1606459.75,11.41,0.1646,0.0538,0.4416
717360.87,1606388.01,9.76,0.1010,0.0906,0.2817
717438.83,1606429.03,7.44,0.0316,0.0261,0.3055
717444.67,1606450.51,12.08,0.0363,0.0231,0.2519
717358.44,1606445.89,11.38,0.0912,0.0181,0.2431
717464.88,1606457.74,12.37,0.0817,0.0398,0.3240
717377.47,1606420.31,5.48,0.2255,0.1286,0.8775
717376.90,1606403.32,17.46,0.1614,0.1387,0.5684
717357.03,1606430.52,14.89,0.1244,0.0333,0.3193
717359.57,1606459.39,9.33,0.0976,0.0322,0.2668
717500.94,1606348.53,13.46,0.0480,0.0512,0.2413
717463.34,1606333.65,7.66,0.0197,0.0324,0.2543
