A0619 H_23.52000_15.68000
1009 -10.41023 -5.99280
1132 -8.81082 -6.68703
2286 -9.85526 -2.31040
9063 -3.56544 -4.41542
9064 -2.51384 0.29380
9065 5.48180 6.20866
9066 4.02708 1.01646
9067 -1.21796 -5.39577
9068 5.94635 -5.11327
9069 6.90036 1.86570
9070 -6.21637 4.86378
9071 2.65027 -2.40796
9073 2.02212 -5.26771
9074 4.80234 2.11125
9075 3.01252 4.76878
9077 1.86516 -3.78215
9078 -9.21740 -0.19473
9079 6.71305 3.82811
9080 6.54985 -0.85022
9082 1.14005 -0.96332
9083 1.66269 7.07000
9084 0.30242 1.90378
9085 -1.33708 1.09622
9087 -1.90481 -3.81275
9088 1.73277 3.34057
9089 -5.49200 -3.66868
9091 3.41958 -5.20545
9092 4.42303 5.83529
9093 0.25652 -6.97785
9094 -3.39051 -7.04638
9095 2.83448 -7.23470
9096 -5.40712 3.49546
9097 -5.60481 -4.88961
9098 6.70141 -1.49853
9099 -9.36257 -4.70480
9100 4.10322 -1.32568
9101 1.55970 -1.60044
9102 -10.25458 -3.24279
9103 -0.95403 3.91284
9105 -0.26811 -6.63132
9106 0.15436 6.31151
9107 -2.70097 -3.07211
9108 -3.88337 7.12452
9109 3.39317 7.18873
9110 -6.71448 4.79824
9111 -4.50154 -3.95603
9112 -5.18825 -1.31113
9113 7.28068 5.18320
9115 -2.34027 -0.40676
9118 -8.46266 -4.18725
9120 4.83579 -3.35747
9121 -4.91338 -3.64272
9123 6.45793 -6.53107
9124 -6.83247 -7.28779
9126 -3.45599 5.90026
9127 -7.99219 3.66758
9129 -6.35833 2.95973
22652 -9.41577 -7.08006
-99
D0619 H_23.52000_15.68000
1644 7.60033 -0.09609
2244 1.03925 2.03767
9138 4.56982 -1.07408
9139 0.89935 -1.46787
9140 10.16498 -5.90928
9141 -2.72485 -1.72934
9142 6.80106 2.68389
9143 7.69642 2.69357
9145 5.76065 -3.04032
9146 5.45750 2.05942
9148 -3.12847 -1.81356
9149 5.47128 2.63467
9150 8.17608 2.67502
9151 8.99657 -6.65188
9152 -0.39365 -0.88713
9153 0.73387 -6.68112
9154 6.88260 3.64282
9155 1.65894 -6.14483
9158 5.59881 -6.70922
9159 3.37120 -0.64634
9160 4.52651 -6.81741
9161 8.99216 -7.15748
9162 3.07570 -7.02477
9163 -0.58230 6.36252
9164 0.28494 1.62025
9166 8.80910 -5.01258
9167 10.33529 -2.80769
9169 0.27665 6.63807
9170 0.57415 -0.54688
9172 4.43176 -6.20392
9176 10.74881 -7.08508
9178 10.24666 3.91940
9181 8.37364 0.65232
9184 6.98906 2.06617
9186 9.28972 -3.65783
9187 2.16656 -2.94464
9188 1.19175 -2.53600
9189 6.81118 -6.04875
9191 4.60518 3.08941
9193 9.79503 0.16452
9196 3.43543 4.61645
9197 3.85138 5.99066
9198 6.65134 -3.96391
9200 -6.87284 4.03095
9201 7.50891 3.87799
9203 10.24260 5.70516
9204 -0.25954 -6.27964
9205 -1.89299 -6.98827
9206 -3.82557 5.55063
9207 -1.48448 3.42912
9208 -0.46624 -3.73307
9209 -5.82149 0.72557
9212 -5.05440 2.87095
9213 7.66143 6.31823
9214 0.16989 -2.45556
9215 -0.01641 5.34219
9216 3.85922 -3.52588
9218 -1.81379 3.88868
9220 -0.07725 -5.87907
9222 3.43881 0.63583
9223 -1.50295 4.90556
9224 -1.86331 6.82771
9227 6.54548 6.66940
9228 -4.46025 2.97995
9229 10.69241 2.62484
9231 1.34409 5.08468
9233 5.28749 -0.58399
9236 10.78831 6.45116
9237 -2.52670 1.96971
9238 -6.40766 -1.77448
9239 -7.26842 2.79150
9241 -1.71386 -2.35539
9242 -2.70809 4.21900
9243 3.12692 -5.43833
9245 -0.88519 2.60851
9247 -4.94843 -6.87274
-99
S0619 H_23.52000_15.68000
1020 5.93262 7.37773
1021 -1.69529 2.48216
1022 -10.73595 5.54638
1023 9.46692 5.26579
1258 -2.23799 5.64199
1307 9.72991 5.69105
1321 1.59266 3.59782
1557 9.93046 -3.72560
1565 8.60754 -4.54030
1570 9.30218 -3.84236
1625 9.57745 -3.60971
1628 11.28109 -3.56597
1629 8.72749 -3.73016
1634 -7.42545 0.20821
1635 1.23442 3.26528
1639 -0.88726 2.11127
1731 5.86383 1.85925
1736 6.36919 2.11599
1738 9.35195 2.26124
1742 10.75416 1.36295
1816 10.35287 2.01282
1818 8.05537 -6.93361
1819 10.93182 -7.31629
1820 10.21606 -7.28536
1821 9.56181 -7.28588
1823 8.85742 -7.45257
1830 9.49949 -6.79013
1837 10.77862 0.63964
1866 7.54030 1.41926
1879 8.35555 1.50804
1894 9.21342 1.98766
1910 11.29483 2.40846
1966 7.09418 -0.85683
1968 10.74263 -3.96270
1969 5.56142 -0.48271
1970 8.97085 -0.27165
1971 10.88666 -1.94180
1977 11.12384 -5.84414
1978 9.37350 -4.62164
1979 11.41303 -4.67933
1981 10.20660 -4.23042
2149 11.27563 -2.14379
2263 8.88565 -1.55256
2265 9.97516 -1.23913
2266 9.69996 -0.86718
2268 6.37494 -2.62275
2873 -6.03958 -5.62266
2874 -8.44403 -4.92313
3554 -3.26250 1.74342
3555 -1.28016 -1.33157
3556 -2.13624 -0.60264
3557 -7.65996 -5.06388
3559 -1.03924 -2.73389
3565 -1.20440 -2.38382
3627 -5.15334 -6.47849
3740 -5.67529 7.45364
3741 -11.29024 -6.43705
3742 1.22059 6.29159
3743 -2.55374 5.25686
3744 -11.09975 7.05686
3745 -3.05903 6.69838
3746 -4.91796 7.63867
3747 -7.87690 6.52541
3748 1.52960 4.44641
3749 -0.06184 2.98847
3750 -9.59329 2.67117
3753 3.49207 -7.05625
3763 -2.41027 1.09663
3764 4.06031 1.47373
3769 5.48330 -7.46012
3770 6.18306 -7.16588
3772 4.90724 -0.31141
3773 6.25024 1.60760
3811 -6.26010 -3.61129
3814 -10.61891 1.15414
3825 -8.88772 2.90218
3828 0.68685 -2.18632
3831 -2.04527 -3.09657
3836 -8.96217 -4.49708
3837 -1.01235 -0.95450
3841 3.39498 -6.30777
3843 -8.85809 3.40123
3845 1.47111 -2.46054
3846 1.41528 -2.16315
3847 -6.02217 -0.01808
3852 3.94386 0.12654
3853 -9.79981 -5.32723
3855 -9.59420 -5.72430
3856 -1.81282 5.60226
3857 -5.64807 1.99089
3859 -1.04349 7.63633
3860 -1.10067 7.39745
3866 3.35563 0.87798
3868 -9.89672 -5.48643
3879 4.14099 -3.31777
3880 4.58303 -3.69278
3882 -4.88655 -7.01562
3886 -7.82458 0.69375
3890 -2.10047 -0.17591
3891 -0.74113 -6.94802
3892 0.49167 0.42431
3895 -0.01715 -1.58421
3896 -5.91179 0.35853
3902 2.89664 0.44277
3905 2.89021 -7.46232
3906 -3.57571 -3.58834
3920 -3.48751 1.49922
3933 -6.95358 5.82865
3934 -7.31190 5.73914
3944 0.33936 3.63309
3946 -6.75483 5.20888
3947 -2.94469 5.24878
3948 -11.33897 5.80544
3949 -5.56905 6.21363
3950 0.08326 3.61288
3951 -3.10325 2.29419
3953 0.57660 -1.58913
3954 -2.62136 1.74244
3955 -0.85091 -4.54046
3957 1.25530 0.28349
3960 0.88438 -0.83480
3961 -0.74846 -5.58654
3963 -0.04538 -5.46204
3968 -8.06109 -7.33239
3969 -3.62108 -0.35468
3971 -5.39387 -5.16643
3991 -9.04264 -1.60573
3996 -4.03873 0.10493
3997 -11.51429 0.75463
3998 -3.58976 0.17398
3999 -3.94507 -1.44297
4000 -5.55534 0.18479
4002 -2.66089 -1.43624
4006 -3.23246 -5.09743
4010 -11.58354 5.31744
4012 -9.50280 3.73581
4017 -11.21423 6.09058
4022 -1.05581 -3.54070
4024 -3.66505 0.81141
4048 -2.72497 -4.87741
4049 -5.47317 -1.68466
4050 -4.89492 -0.21176
4051 -3.68934 -2.97737
4052 2.67986 -3.90488
4053 -11.51696 0.63945
4062 1.64970 1.13207
4065 -0.65362 -6.01824
4094 -6.46181 0.35297
4217 -3.41139 -5.67079
4765 -11.37663 -4.90833
4780 -7.28650 -1.06629
4787 -9.22132 -1.42911
4788 -8.74387 -0.70214
4790 -7.09354 -2.08507
4794 -4.69993 -5.23934
4799 -11.37663 -4.90833
4801 -11.17837 -1.99070
4802 -10.43204 -0.74559
4805 -9.17566 -4.79961
4806 -7.57696 -1.23987
4807 -7.75225 -0.51479
4809 -9.45646 -1.31536
4810 -9.72453 -3.98204
4811 -7.52334 1.03696
4813 -11.27134 -2.59344
4814 -7.88684 -4.19994
4816 -10.10236 -1.45512
4817 -7.16095 -3.20233
4819 -4.69177 -5.97334
8861 -4.62788 -4.89467
8863 -3.81661 -7.28728
8865 -4.06827 -7.49212
8867 -4.78996 -6.29892
8874 -4.13211 -4.96255
8875 2.14569 -2.02852
8876 2.04450 -7.49049
8877 2.04050 -5.01815
8879 -3.04489 -4.53603
8880 -4.41323 -4.35460
8881 -3.98063 -0.79838
8882 -1.34078 -4.28240
8883 1.60429 -6.80683
8885 -2.07689 0.18394
8886 -0.89035 -5.58756
8887 1.76280 0.08393
8888 -4.68753 -7.38387
8889 1.92593 -4.05257
8890 2.25251 -5.24295
8891 2.33135 -0.62517
8892 3.59867 -2.22312
8893 -4.10906 -4.61696
8894 2.93293 -0.40511
8895 4.04596 -1.86685
8896 5.41596 -3.72818
8897 -5.13335 -7.30633
8898 3.73692 -4.76509
8900 -2.79573 -4.28472
8903 5.68352 -5.74721
8905 4.48470 -1.10142
8906 5.28732 -5.43317
8911 1.06183 -0.51123
8913 -2.09246 -7.17686
8915 0.67941 -0.24297
8929 -0.01655 -0.74750
8958 6.53763 -3.88733
9253 2.65107 -0.52455
9254 -2.77840 -6.24017
9255 -5.96089 -3.55378
9259 -1.26852 -4.52543
9263 -3.50704 -7.60125
9264 -0.06710 -0.15434
9267 4.00304 -2.94702
9268 -9.43072 -0.33844
22407 -2.74316 1.83995
-99
W0619 H_23.52000_15.68000
9275 -6.03989 0.19262
9277 -7.92625 -4.04286
9278 -4.52583 -4.47903
9279 -3.81663 3.50641
