Name,Latitude,Longitude,AbsAlt,RltAlt,Pitch,Roll,Yaw,StdHorizon,StdHeight,Q,Date,Time
00001,13.79502029,100.80370978,0.000,0.167,-44.99,-0.03,58.02,1.93547850158559,3.3982,16,2023.03.17,18.13.27.989467
00002,13.79502051,100.80371016,0.000,0.198,-89.98,0.56,147.44,1.93547850158559,3.3982,16,2023.03.17,18.13.27.989986
00003,13.79502080,100.80370987,0.000,0.167,-44.98,0.01,147.99,1.93547850158559,3.3982,16,2023.03.17,18.13.27.990179
00004,13.79502020,100.80371029,0.000,0.231,-45.02,-0.01,-31.99,1.93547850158559,3.3982,16,2023.03.17,18.13.27.990531
00005,13.79502071,100.80371038,0.000,0.231,-45.01,0.03,-122.02,1.93547850158559,3.3982,16,2023.03.17,18.13.27.990930
00006,13.79502027,100.80371008,0.000,0.083,-44.99,-0.03,58.02,1.87917742400764,3.32497,16,2023.03.17,18.13.29.949447
00007,13.79502049,100.80371046,0.000,0.114,-89.98,0.56,147.44,1.87917742400764,3.32497,16,2023.03.17,18.13.29.949966
00008,13.79502078,100.80371017,0.000,0.083,-44.98,0.01,147.99,1.87917742400764,3.32497,16,2023.03.17,18.13.29.950154
00009,13.79502018,100.80371059,0.000,0.083,-45.02,-0.01,-31.99,1.87917742400764,3.32497,16,2023.03.17,18.13.29.950517
00010,13.79502069,100.80371068,0.000,0.083,-45.01,0.03,-122.02,1.87917742400764,3.32497,16,2023.03.17,18.13.29.950924
00011,13.79502031,100.80371023,0.000,0.323,-44.99,-0.03,58.02,1.92447116169612,3.30768,16,2023.03.17,18.13.31.869431
00012,13.79502053,100.80371061,0.000,0.354,-89.98,0.56,147.44,1.92447116169612,3.30768,16,2023.03.17,18.13.31.869948
00013,13.79502082,100.80371032,0.000,0.323,-44.98,0.01,147.99,1.92447116169612,3.30768,16,2023.03.17,18.13.31.870137
00014,13.79502022,100.80371074,0.000,0.323,-45.02,-0.01,-31.99,1.92447116169612,3.30768,16,2023.03.17,18.13.31.870502
00015,13.79502073,100.80371083,0.000,0.323,-45.01,0.03,-122.02,1.92447116169612,3.30768,16,2023.03.17,18.13.31.870919
00016,13.79502027,100.80371059,0.000,0.146,-44.99,-0.03,58.02,1.83005262405211,3.31447,16,2023.03.17,18.13.33.909414
