Name,Longitude,Latitude,AbsAlt,RltAlt,Pitch,Roll,Yaw
00001,13.79502029,100.80370978,0.000,0.167,-44.99,0.03,58.02
00002,13.79502051,100.80371016,0.000,0.198,-89.98,-0.56,147.44
00003,13.79502080,100.80370987,0.000,0.167,-44.98,-0.01,147.99
00004,13.79502020,100.80371029,0.000,0.231,-45.02,0.01,-31.99
00005,13.79502071,100.80371038,0.000,0.231,-45.01,-0.03,-122.02
00006,13.79502027,100.80371008,0.000,0.083,-44.99,0.03,58.02
00007,13.79502049,100.80371046,0.000,0.114,-89.98,-0.56,147.44
00008,13.79502078,100.80371017,0.000,0.083,-44.98,-0.01,147.99
00009,13.79502018,100.80371059,0.000,0.083,-45.02,0.01,-31.99
00010,13.79502069,100.80371068,0.000,0.083,-45.01,-0.03,-122.02
00011,13.79502031,100.80371023,0.000,0.323,-44.99,0.03,58.02
00012,13.79502053,100.80371061,0.000,0.354,-89.98,-0.56,147.44
00013,13.79502082,100.80371032,0.000,0.323,-44.98,-0.01,147.99
00014,13.79502022,100.80371074,0.000,0.323,-45.02,0.01,-31.99
00015,13.79502073,100.80371083,0.000,0.323,-45.01,-0.03,-122.02
00016,13.79502027,100.80371059,0.000,0.146,-44.99,0.03,58.02
00017,13.79502049,100.80371097,0.000,0.177,-89.98,-0.56,147.44
00018,13.79502078,100.80371068,0.000,0.146,-44.98,-0.01,147.99
00019,13.79502018,100.80371110,0.000,0.146,-45.02,0.01,-31.99
00020,13.79502069,100.80371119,0.000,0.146,-45.01,-0.03,-122.02
00021,13.79502029,100.80371084,0.000,0.315,-44.99,0.03,58.02
00022,13.79502051,100.80371122,0.000,0.346,-89.98,-0.56,147.44
00023,13.79502080,100.80371093,0.000,0.315,-44.98,-0.01,147.99
00024,13.79502020,100.80371135,0.000,0.315,-45.02,0.01,-31.99
00025,13.79502071,100.80371144,0.000,0.315,-45.01,-0.03,-122.02
00026,13.79502044,100.80371092,0.000,0.381,-44.99,0.03,58.02
00027,13.79502066,100.80371130,0.000,0.412,-89.98,-0.56,147.44
00028,13.79502095,100.80371101,0.000,0.381,-44.98,-0.01,147.99
00029,13.79502035,100.80371143,0.000,0.381,-45.02,0.01,-31.99
00030,13.79502086,100.80371152,0.000,0.381,-45.01,-0.03,-122.02
00031,13.79502066,100.80371094,0.000,0.328,-44.99,0.03,58.02
00032,13.79502088,100.80371132,0.000,0.360,-89.98,-0.56,147.44
00033,13.79502117,100.80371103,0.000,0.328,-44.98,-0.01,147.99
00034,13.79502057,100.80371145,0.000,0.329,-45.02,0.01,-31.99
00035,13.79502108,100.80371154,0.000,0.329,-45.01,-0.03,-122.02
00036,13.79502083,100.80371080,0.000,0.000,-44.99,0.03,58.02
00037,13.79502105,100.80371118,0.000,0.000,-89.98,-0.56,147.44
00038,13.79502134,100.80371089,0.000,0.000,-44.98,-0.01,147.99
00039,13.79502074,100.80371131,0.000,0.000,-45.02,0.01,-31.99
00040,13.79502125,100.80371140,0.000,0.000,-45.01,-0.03,-122.02
00041,13.79502131,100.80371042,0.000,0.299,-44.99,0.03,58.02
00042,13.79502153,100.80371080,0.000,0.330,-89.98,-0.56,147.44
00043,13.79502182,100.80371051,0.000,0.299,-44.98,-0.01,147.99
00044,13.79502122,100.80371093,0.000,0.299,-45.02,0.01,-31.99
00045,13.79502173,100.80371102,0.000,0.299,-45.01,-0.03,-122.02
00046,13.79502211,100.80371052,0.000,0.262,-44.99,0.03,58.02
00047,13.79502233,100.80371090,0.000,0.293,-89.98,-0.56,147.44
00048,13.79502262,100.80371061,0.000,0.262,-44.98,-0.01,147.99
00049,13.79502202,100.80371103,0.000,0.262,-45.02,0.01,-31.99
00050,13.79502253,100.80371112,0.000,0.262,-45.01,-0.03,-122.02
00051,13.79503845,100.80370680,0.000,0.529,-45.00,0.01,58.01
00052,13.79503867,100.80370718,0.000,0.560,-89.99,0.00,148.00
00053,13.79503896,100.80370689,0.000,0.529,-44.99,0.00,148.00
00054,13.79503836,100.80370731,0.000,0.529,-45.01,0.00,-32.00
00055,13.79503887,100.80370740,0.000,0.529,-45.00,-0.01,-122.01
00056,13.79503920,100.80370612,0.000,0.395,-45.00,0.01,58.01
00057,13.79503942,100.80370650,0.000,0.426,-89.99,0.00,148.00
00058,13.79503971,100.80370621,0.000,0.395,-44.99,0.00,148.00
00059,13.79503911,100.80370663,0.000,0.395,-45.01,0.00,-32.00
00060,13.79503962,100.80370672,0.000,0.395,-45.00,-0.01,-122.01
00061,13.79503541,100.80370327,0.000,0.376,-44.99,0.01,58.01
00062,13.79503563,100.80370365,0.000,0.407,-89.99,-0.57,147.43
00063,13.79503592,100.80370336,0.000,0.376,-44.99,-0.01,147.99
00064,13.79503532,100.80370378,0.000,0.376,-45.01,0.01,-31.99
00065,13.79503583,100.80370387,0.000,0.376,-45.01,-0.01,-122.01
