imageName X Y Z Omega Phi Kappa
8back01053.JPG 717605.667090 1606094.354448 124.345934 -52.621881 -21.603076 21.674449
8down01053.JPG 717605.643635 1606094.389143 124.313069 -11.255747 -1.114962 30.629911
8front01053.JPG 717605.619207 1606094.433595 124.329233 29.282439 20.392958 -156.647180
8left01053.JPG 717605.683583 1606094.417661 124.333681 -37.312015 36.727850 -51.080840
8right01053.JPG 717605.602714 1606094.370383 124.341486 15.725908 -38.781367 130.328613
8back01054.JPG 717597.630261 1606107.704981 124.254984 -53.567332 -21.697032 21.589166
8down01054.JPG 717597.606858 1606107.739136 124.221520 -12.169681 -1.237860 30.632548
8front01054.JPG 717597.582376 1606107.783828 124.236922 28.338095 20.301251 -156.559874
8left01054.JPG 717597.646750 1606107.767998 124.241758 -38.187597 36.616267 -51.145145
8right01054.JPG 717597.565887 1606107.720811 124.250147 14.858737 -38.889668 130.403270
8back01055.JPG 717590.594292 1606119.594987 124.360746 -53.231564 -21.708874 21.595172
8down01055.JPG 717590.570883 1606119.629330 124.327481 -11.835873 -1.243053 30.644568
8front01055.JPG 717590.546390 1606119.673926 124.343141 28.667014 20.305107 -156.546535
8left01055.JPG 717590.610768 1606119.658083 124.347888 -37.860380 36.606328 -51.134531
8right01055.JPG 717590.529914 1606119.610829 124.355998 15.202822 -38.888832 130.420054
8back01056.JPG 717583.418955 1606131.859874 124.302438 -53.190641 -21.781131 21.258479
8down01056.JPG 717583.395795 1606131.894366 124.269153 -11.674686 -1.504251 30.457967
8front01056.JPG 717583.371323 1606131.938973 124.284816 28.822482 19.985339 -156.516942
8left01056.JPG 717583.435639 1606131.922970 124.289847 -37.485862 36.452937 -51.485410
8right01056.JPG 717583.354639 1606131.875876 124.297406 15.329941 -39.206270 130.358875
8back01057.JPG 717575.649458 1606144.828324 124.316306 -53.768627 -21.902183 21.133276
8down01057.JPG 717575.626378 1606144.862495 124.282636 -12.206277 -1.671925 30.451251
8front01057.JPG 717575.601839 1606144.907232 124.297815 28.253483 19.853439 -156.406600
8left01057.JPG 717575.666148 1606144.891309 124.303179 -37.959086 36.304874 -51.583503
8right01057.JPG 717575.585149 1606144.844247 124.310941 14.855982 -39.358676 130.449606
8back01058.JPG 717568.039156 1606157.819366 124.403477 -54.081363 -22.409974 20.632412
8down01058.JPG 717568.016392 1606157.853409 124.369463 -12.330439 -2.359639 30.442169
8front01058.JPG 717567.991569 1606157.898119 124.384255 27.973545 19.323694 -155.941013
8left01058.JPG 717568.055849 1606157.882363 124.390410 -37.860786 35.688812 -51.961456
8right01058.JPG 717567.974876 1606157.835123 124.397321 14.986026 -39.974549 130.847341
8back01059.JPG 717560.726131 1606170.179437 124.369993 -52.528589 -21.659098 21.353571
8down01059.JPG 717560.702914 1606170.214308 124.337146 -11.048191 -1.354317 30.443269
8front01059.JPG 717560.678516 1606170.258759 124.353359 29.488943 20.089774 -156.632517
8left01059.JPG 717560.742832 1606170.242654 124.358052 -36.897587 36.594293 -51.420576
8right01059.JPG 717560.661814 1606170.195542 124.365300 15.890795 -39.079308 130.254310
8back01060.JPG 717553.023322 1606183.189085 124.498475 -53.321994 -21.842437 21.351197
8down01060.JPG 717553.000082 1606183.223440 124.465104 -11.837739 -1.493127 30.563096
8front01060.JPG 717552.975540 1606183.268048 124.480652 28.630180 20.062027 -156.439551
8left01060.JPG 717553.039887 1606183.252174 124.485693 -37.725063 36.417127 -51.361826
8right01060.JPG 717552.958974 1606183.204960 124.493434 15.236299 -39.148587 130.473103
8back01061.JPG 717545.898771 1606195.225281 124.612841 -53.134473 -21.933685 21.317689
8down01061.JPG 717545.875545 1606195.259730 124.579557 -11.636730 -1.582077 30.600271
8front01061.JPG 717545.850939 1606195.304261 124.595227 28.798826 20.018452 -156.348020
8left01061.JPG 717545.915294 1606195.288430 124.600302 -37.521074 36.320878 -51.368533
8right01061.JPG 717545.834415 1606195.241112 124.607766 15.496299 -39.210837 130.568058
8back01062.JPG 717537.974456 1606208.598004 124.673014 -53.664744 -21.962898 21.008830
8down01062.JPG 717537.951463 1606208.632270 124.639382 -12.057305 -1.793958 30.405183
8front01062.JPG 717537.926905 1606208.676976 124.654622 28.387965 19.730703 -156.359691
8left01062.JPG 717537.991196 1606208.661018 124.660090 -37.739449 36.214911 -51.700624
8right01062.JPG 717537.910164 1606208.613963 124.667546 15.018292 -39.488295 130.468415
8back01063.JPG 717530.752443 1606220.674711 124.788817 -52.617782 -21.229023 21.793277
8down01063.JPG 717530.728947 1606220.709477 124.756057 -11.297723 -0.761061 30.465855
8front01063.JPG 717530.704787 1606220.754038 124.772323 29.375646 20.554881 -157.025980
8left01063.JPG 717530.769123 1606220.737848 124.776429 -37.357393 37.117833 -51.070705
8right01063.JPG 717530.688108 1606220.690901 124.784711 15.441622 -38.539762 129.936437
8back01064.JPG 717523.164736 1606233.492095 124.875728 -53.009760 -22.045845 21.084529
8down01064.JPG 717523.141674 1606233.526683 124.842475 -11.427300 -1.809398 30.512789
8front01064.JPG 717523.117033 1606233.571173 124.858206 28.981579 19.788695 -156.262057
8left01064.JPG 717523.181356 1606233.555278 124.863492 -37.178807 36.154330 -51.588868
8right01064.JPG 717523.100414 1606233.507991 124.870442 15.729541 -39.453016 130.601544
8back01065.JPG 717515.328175 1606246.419689 124.827162 -53.067220 -21.688532 21.499706
8down01065.JPG 717515.304842 1606246.454177 124.793992 -11.637998 -1.286470 30.564569
8front01065.JPG 717515.280387 1606246.498748 124.809783 28.878691 20.220145 -156.581291
8left01065.JPG 717515.344741 1606246.482811 124.814541 -37.593208 36.602349 -51.247784
8right01065.JPG 717515.263822 1606246.435627 124.822404 15.360847 -38.963844 130.353821
8back01066.JPG 717507.372959 1606260.174424 124.841092 -53.732362 -22.025772 21.081355
8down01066.JPG 717507.349902 1606260.208598 124.807409 -12.149200 -1.796336 30.497258
8front01066.JPG 717507.325277 1606260.253290 124.822584 28.267467 19.788577 -156.283617
8left01066.JPG 717507.389596 1606260.237442 124.828059 -37.894146 36.172839 -51.599158
8right01066.JPG 717507.308640 1606260.190272 124.835616 14.991859 -39.448476 130.575937
8back01067.JPG 717499.756404 1606272.422868 124.811004 -51.729651 -21.180653 21.954846
8down01067.JPG 717499.732791 1606272.458083 124.778811 -10.467049 -0.625318 30.547120
8front01067.JPG 717499.708632 1606272.502380 124.795784 30.215448 20.710791 -157.054672
8left01067.JPG 717499.772993 1606272.486194 124.799489 -36.628290 37.203961 -50.904185
8right01067.JPG 717499.692044 1606272.439054 124.807299 16.280434 -38.381973 129.951102
8back01068.JPG 717491.966679 1606285.600128 124.852287 -54.089001 -21.848773 20.946726
8down01068.JPG 717491.943749 1606285.634209 124.818424 -12.462066 -1.746907 30.286253
8front01068.JPG 717491.919295 1606285.679074 124.833360 28.030216 19.689345 -156.488191
8left01068.JPG 717491.983554 1606285.663013 124.838916 -38.076868 36.308780 -51.808266
8right01068.JPG 717491.902421 1606285.616190 124.846730 14.512311 -39.500395 130.303488
8left01069.JPG 717484.881763 1606297.731283 124.866528 -37.826484 36.680541 -51.311995
8back01069.JPG 717484.865107 1606297.668248 124.879456 -53.350228 -21.599416 21.468771
8down01069.JPG 717484.841810 1606297.702614 124.846136 -11.911371 -1.238687 30.484019
8front01069.JPG 717484.817432 1606297.747298 124.861728 28.641060 20.204124 -156.679604
8right01069.JPG 717484.800776 1606297.684263 124.874656 15.013686 -38.957767 130.233650
8back01070.JPG 717476.806745 1606311.270918 124.912819 -55.024863 -22.402889 20.065217
8down01070.JPG 717476.784418 1606311.304646 124.878209 -13.075218 -2.704218 30.046454
8front01070.JPG 717476.759732 1606311.349674 124.892248 27.273340 18.805165 -156.023960
8left01070.JPG 717476.823877 1606311.333653 124.899080 -38.226466 35.546590 -52.582389
8right01070.JPG 717476.742600 1606311.286939 124.905988 14.094900 -40.461873 130.593622
8back01071.JPG 717469.756962 1606323.129503 124.798255 -53.469176 -21.737797 21.283233
8down01071.JPG 717469.733789 1606323.163837 124.764815 -11.962695 -1.456564 30.446459
8front01071.JPG 717469.709345 1606323.208530 124.780274 28.549227 20.014125 -156.559211
8left01071.JPG 717469.773659 1606323.192529 124.785335 -37.781269 36.500875 -51.472465
8right01071.JPG 717469.692648 1606323.145504 124.793193 15.016228 -39.168999 130.317725
8back01072.JPG 717462.108168 1606336.018259 124.856862 -52.563832 -21.295658 21.767981
8down01072.JPG 717462.084683 1606336.053046 124.824116 -11.234235 -0.826668 30.492155
8front01072.JPG 717462.060476 1606336.097572 124.840407 29.415280 20.522248 -156.959027
8left01072.JPG 717462.124818 1606336.081421 124.844562 -37.290342 37.047343 -51.077219
8right01072.JPG 717462.043826 1606336.034410 124.852708 15.547016 -38.586502 130.004245
8back01073.JPG 717454.075013 1606349.629309 124.782805 -54.133179 -21.936660 21.205164
8down01073.JPG 717454.051873 1606349.663221 124.748916 -12.595553 -1.653492 30.524059
8front01073.JPG 717454.027290 1606349.708033 124.763803 27.846391 19.914683 -156.360425
8left01073.JPG 717454.091621 1606349.692222 124.769239 -38.404497 36.289819 -51.492244
8right01073.JPG 717454.010682 1606349.645119 124.777370 14.510816 -39.309129 130.522530
8back01074.JPG 717446.593341 1606362.153831 124.687611 -54.584278 -22.053123 20.911231
8down01074.JPG 717446.570411 1606362.187567 124.653404 -12.940515 -1.921508 30.397472
8front01074.JPG 717446.545804 1606362.232493 124.667900 27.477517 19.628615 -156.278068
8left01074.JPG 717446.610089 1606362.216644 124.673755 -38.576970 36.103276 -51.777637
8right01074.JPG 717446.529056 1606362.169680 124.681756 14.177640 -39.605356 130.534863
8back01075.JPG 717438.590664 1606375.684477 124.633407 -53.500463 -21.658123 21.346098
8down01075.JPG 717438.567453 1606375.718790 124.599972 -12.017446 -1.358186 30.437418
8front01075.JPG 717438.543057 1606375.763511 124.615429 28.520533 20.083032 -156.634572
