SHARE102SPRO265_DOWN_27.0_6000x4000 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0409096, 0.620483, -0.174812, 0.184254, -0.158334, 0.158664, -0.0164378
-0.0409096, 1, -0.0346725, 0.0143739, -0.0100611, 0.00658368, -0.0184292, 0.927968
0.620483, -0.0346725, 1, 0.00566896, 0.0289477, -0.0310862, 0.728646, -0.0226685
-0.174812, 0.0143739, 0.00566896, 1, -0.969119, 0.914672, 0.0249134, 0.0210705
0.184254, -0.0100611, 0.0289477, -0.969119, 1, -0.983398, 0.00761716, -0.0195609
-0.158334, 0.00658368, -0.0310862, 0.914672, -0.983398, 1, -0.0115239, 0.0187289
0.158664, -0.0184292, 0.728646, 0.0249134, 0.00761716, -0.0115239, 1, -0.0213701
-0.0164378, 0.927968, -0.0226685, 0.0210705, -0.0195609, 0.0187289, -0.0213701, 1
SHARE102SPRO265_BACK_38.0_6000x4000 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0937472, 0.0876852, -0.83749, 0.742382, -0.663911, 0.0122269, -0.0841953
-0.0937472, 1, -0.0541445, 0.0655377, -0.0722996, 0.0872686, 0.0200729, 0.92019
0.0876852, -0.0541445, 1, 0.103593, -0.0908778, 0.0548965, 0.753283, 0.00136397
-0.83749, 0.0655377, 0.103593, 1, -0.967733, 0.911167, 0.0980022, 0.0420382
0.742382, -0.0722996, -0.0908778, -0.967733, 1, -0.983149, -0.0693668, -0.0495749
-0.663911, 0.0872686, 0.0548965, 0.911167, -0.983149, 1, 0.0346139, 0.0590844
0.0122269, 0.0200729, 0.753283, 0.0980022, -0.0693668, 0.0346139, 1, 0.0582183
-0.0841953, 0.92019, 0.00136397, 0.0420382, -0.0495749, 0.0590844, 0.0582183, 1
SHARE102SPRO265_FRONT_38.0_6000x4000 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, 0.0699297, 0.20796, -0.721993, 0.641585, -0.56823, 0.0301147, 0.0685723
0.0699297, 1, -0.114081, -0.119732, 0.141371, -0.172969, -0.00842284, 0.903246
0.20796, -0.114081, 1, 0.00162597, 0.0323066, -0.0686106, 0.79655, -0.0721205
-0.721993, -0.119732, 0.00162597, 1, -0.968785, 0.911645, -0.00169443, -0.115101
0.641585, 0.141371, 0.0323066, -0.968785, 1, -0.982549, 0.027371, 0.123918
-0.56823, -0.172969, -0.0686106, 0.911645, -0.982549, 1, -0.0511475, -0.142322
0.0301147, -0.00842284, 0.79655, -0.00169443, 0.027371, -0.0511475, 1, 0.0140848
0.0685723, 0.903246, -0.0721205, -0.115101, 0.123918, -0.142322, 0.0140848, 1
SHARE102SPRO265_LEFT_38.0_6000x4000 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0527584, 0.167675, -0.68415, 0.609448, -0.545797, 0.177173, -0.0476704
-0.0527584, 1, -0.0586734, 0.0276437, 0.0135355, -0.0430654, -0.263447, 0.953393
0.167675, -0.0586734, 1, -0.018305, 0.0189203, -0.0126707, 0.567041, -0.107902
-0.68415, 0.0276437, -0.018305, 1, -0.967207, 0.909297, -0.00117991, 0.00966961
0.609448, 0.0135355, 0.0189203, -0.967207, 1, -0.982758, -0.0034428, 0.0303259
-0.545797, -0.0430654, -0.0126707, 0.909297, -0.982758, 1, 0.018983, -0.0606061
0.177173, -0.263447, 0.567041, -0.00117991, -0.0034428, 0.018983, 1, -0.264867
-0.0476704, 0.953393, -0.107902, 0.00966961, 0.0303259, -0.0606061, -0.264867, 1
SHARE102SPRO265_RIGHT_38.0_6000x4000 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0710632, 0.128671, -0.671287, 0.598271, -0.534934, 0.0534369, -0.0695878
-0.0710632, 1, 0.0246374, 0.00253547, -0.0327153, 0.0700066, 0.176563, 0.939234
0.128671, 0.0246374, 1, 0.0138891, 0.0112629, -0.0274698, 0.502074, 0.0858815
-0.671287, 0.00253547, 0.0138891, 1, -0.967725, 0.909863, 0.0524596, 0.00363762
0.598271, -0.0327153, 0.0112629, -0.967725, 1, -0.982761, -0.00978547, -0.0293537
-0.534934, 0.0700066, -0.0274698, 0.909863, -0.982761, 1, 0.00702109, 0.0565139
0.0534369, 0.176563, 0.502074, 0.0524596, -0.00978547, 0.00702109, 1, 0.179846
-0.0695878, 0.939234, 0.0858815, 0.00363762, -0.0293537, 0.0565139, 0.179846, 1
