x,y,z,sx,sy,sz
716992.35,1606366.36,-892.89,3.1612,0.4705,5.4504
717574.61,1606484.42,5.11,0.0443,0.0616,0.2312
717489.51,1606399.35,21.72,0.0109,0.0126,0.0400
717627.75,1606229.83,5.68,0.0229,0.0372,0.1174
717553.52,1606489.65,12.80,0.0558,0.0642,0.4391
717587.84,1606498.81,16.09,0.1293,0.1356,0.5850
717458.12,1606364.52,2.90,0.0323,0.0723,0.1292
717484.25,1606409.99,14.40,0.0243,0.0122,0.1714
717428.01,1606363.95,14.56,0.1363,0.1387,0.3325
717562.05,1606505.65,5.91,0.0252,0.0906,0.3348
717571.40,1606529.57,15.93,0.0753,0.4359,0.8534
717432.76,1606370.35,8.09,0.0747,0.0701,0.2123
717567.98,1606492.63,7.85,0.0277,0.0599,0.3722
717559.72,1606477.44,13.02,0.0501,0.0428,0.5573
717624.80,1606194.52,16.27,0.0152,0.0154,0.0402
717471.33,1606402.33,15.44,0.0301,0.0402,0.4337
717601.20,1606110.23,7.15,0.0846,0.2865,0.5344
717583.27,1606146.62,7.64,0.1002,0.0634,0.3820
717566.06,1606461.45,12.68,0.0598,0.1624,0.3301
717582.40,1606431.91,13.75,0.0539,0.0437,0.1732
717440.69,1606364.24,17.49,0.0251,0.0634,0.1117
717512.16,1606423.37,4.42,0.2701,0.1070,0.7938
717399.91,1606380.98,13.70,0.0496,0.0603,0.1891
717505.40,1606394.16,-6.26,0.0355,0.0169,0.0978
717457.42,1606415.57,12.51,0.0270,0.0132,0.1005
717543.28,1606679.49,-481.41,0.0964,0.4632,1.2411
717592.58,1606501.00,15.48,0.1490,0.1362,0.5621
717703.18,1606252.35,9.87,0.3267,0.2124,0.4601
717444.21,1606465.35,66.01,0.0249,0.0172,0.0511
717590.25,1606509.51,16.86,0.0848,0.1158,0.3493
717450.78,1606419.87,3.09,0.1193,0.0423,0.3300
717585.44,1606342.14,16.70,0.0716,0.0120,0.1377
717642.39,1606391.97,16.30,0.0566,0.3536,0.8182
717643.81,1606395.11,17.88,0.0588,0.3918,0.8276
717663.90,1606373.83,17.18,0.1485,0.1777,0.6646
717642.77,1606374.40,5.33,0.0719,0.0713,0.2701
717613.60,1606359.42,3.41,0.0284,0.0275,0.1343
717661.18,1606360.84,14.52,0.0816,0.0646,0.4197
717478.40,1606396.86,13.69,0.0634,0.0934,0.7314
717564.38,1606351.19,8.45,0.6990,0.0851,1.0467
717631.39,1606377.55,10.25,0.0262,0.0449,0.1486
717445.28,1606410.29,13.00,0.0415,0.0234,0.1173
717413.19,1606368.75,-7.00,0.6119,0.4171,1.3418
717454.57,1606496.99,3.91,0.0217,0.0398,0.1359
717520.23,1606491.70,3.33,0.1705,0.0722,0.4415
717530.59,1606541.72,4.84,0.0457,0.0278,0.1198
717407.79,1606447.89,3.15,0.0620,0.0225,0.1242
717583.59,1606213.32,6.98,0.1413,0.2566,0.5586
717417.98,1606443.74,6.51,0.0936,0.0482,0.2193
717419.10,1606491.67,3.15,0.3022,0.1583,0.8199
717452.74,1606384.64,2.33,0.0355,0.0294,0.1519
717436.20,1606500.07,2.16,0.0587,0.0665,0.2537
717386.98,1606402.77,4.34,0.1345,0.0934,0.6008
717466.42,1606352.13,3.73,0.0271,0.0862,0.1909
717465.15,1606370.86,11.04,0.0340,0.0696,0.2142
717548.00,1606555.79,-121.16,0.0331,0.0757,0.3185
717604.19,1606438.00,4.66,0.0333,0.0445,0.1484
717615.41,1606253.32,12.36,0.0216,0.0261,0.2918
717577.02,1606233.34,10.13,0.0767,0.0572,0.2385
717409.21,1606472.61,8.55,0.0869,0.0154,0.1863
717450.55,1606507.83,3.01,0.0892,0.2445,0.7832
717453.50,1606492.51,10.35,0.0251,0.0478,0.2253
717497.22,1606494.15,2.25,0.2418,0.1712,0.8254
717435.29,1606408.76,11.25,0.0704,0.0390,0.3358
717430.35,1606467.74,2.67,0.0432,0.0360,0.2462
717498.81,1606508.98,2.10,0.3809,0.2143,0.8431
717411.61,1606479.79,8.31,0.0496,0.0197,0.1516
717446.62,1606482.40,2.64,0.0261,0.0269,0.2128
717431.03,1606483.77,3.94,0.0439,0.0369,0.3005
717707.19,1606142.54,8.55,0.0189,0.0217,0.1123
717659.82,1606388.34,18.30,0.1103,0.2342,0.5824
717460.47,1606485.32,2.58,0.0375,0.0422,0.2852
717483.63,1606415.22,15.47,0.0475,0.0480,0.2952
717519.62,1606514.98,3.13,0.1600,0.1087,0.5485
717658.31,1606307.89,6.94,0.0325,0.0247,0.1320
717665.90,1606331.35,5.37,0.0218,0.0238,0.0695
717688.80,1606288.87,5.73,0.2013,0.0793,0.4775
717671.92,1606303.40,12.98,0.0836,0.0387,0.2884
717649.23,1606232.41,7.95,0.0187,0.1367,0.2546
717697.68,1606271.32,7.35,0.2202,0.1047,0.4827
717637.67,1606274.71,6.07,0.0813,0.1752,0.9396
717620.85,1606216.62,7.10,0.1351,0.4160,0.6264
717458.40,1606276.83,7.27,0.0740,0.0253,0.1851
717679.15,1606284.33,13.85,0.2864,0.1036,0.9162
717615.46,1606272.96,18.71,0.0967,0.0896,0.3631
717619.30,1606302.11,5.30,0.0343,0.0204,0.0901
717455.47,1606300.31,-197.18,0.4126,0.0865,0.6209
717449.56,1606373.07,4.80,0.1017,0.1525,0.5027
717630.03,1606361.46,6.50,0.0517,0.0265,0.1166
717481.83,1606279.08,3.93,0.1127,0.0804,0.2697
717522.21,1606272.37,16.81,0.0202,0.0490,0.1552
717512.27,1606245.86,16.60,0.0627,0.1726,0.3061
717522.52,1606250.58,15.44,0.1133,0.4637,0.9194
717460.45,1606391.13,11.89,0.0859,0.0532,0.1991
717541.72,1606265.60,12.35,0.0648,0.2377,0.6534
717509.91,1606257.05,11.98,0.1573,0.3071,0.7089
717628.58,1606280.13,18.74,0.0122,0.0121,0.0415
717530.77,1606268.15,12.34,0.0130,0.0592,0.1733
717545.93,1606263.96,10.45,0.0132,0.0286,0.1065
717579.02,1606291.36,5.05,0.0722,0.0238,0.2008
717520.28,1606252.98,14.67,0.0383,0.0836,0.1977
717604.67,1606242.52,12.86,0.1264,0.2863,0.7189
717497.39,1606250.48,10.67,0.0529,0.0521,0.1691
717509.77,1606263.97,10.03,0.1106,0.1004,0.4313
717451.93,1606369.81,3.21,0.0374,0.0384,0.1593
717477.49,1606395.69,11.38,0.0324,0.0312,0.4289
717572.04,1606210.14,14.18,0.1610,0.1885,0.4224
717428.58,1606362.17,7.11,0.3121,0.1922,0.6860
717438.04,1606437.78,3.91,0.0798,0.0559,0.3560
717660.31,1606335.09,4.78,0.1919,0.0737,0.4515
717433.29,1606419.37,9.80,0.0367,0.0142,0.1885
717545.02,1606449.40,3.35,0.0704,0.1946,0.5571
717525.98,1606381.51,6.87,0.0520,0.0243,0.1203
717573.59,1606157.25,10.67,0.0913,0.0511,0.3178
717516.91,1606406.10,12.79,0.0352,0.0115,0.0942
717539.31,1606341.91,4.00,0.0160,0.0193,0.0655
717476.32,1606334.25,11.77,0.0133,0.0920,0.1656
717650.64,1606203.67,7.29,0.1324,0.0545,0.2223
717535.73,1606390.21,4.96,0.0561,0.0271,0.1206
717678.96,1606337.35,17.11,0.2262,0.1514,0.7358
717483.19,1606254.51,15.86,0.0211,0.0683,0.1578
717680.04,1606325.57,14.14,0.1180,0.0475,0.4004
717514.87,1606495.39,3.06,0.0252,0.0386,0.1649
717574.18,1606283.61,11.95,0.0704,0.0273,0.2088
717619.56,1606303.13,5.10,0.0637,0.0725,0.8764
717645.75,1606320.25,12.98,0.0913,0.0716,0.3368
717552.33,1606197.62,13.13,0.1798,0.0716,0.3912
717573.64,1606183.38,13.17,0.1116,0.1478,0.3895
717608.41,1606214.23,6.38,0.0773,0.0641,0.6634
717649.68,1606396.81,19.04,0.0353,0.1582,0.3268
717471.28,1606366.60,64.43,0.0152,0.0164,0.0346
717452.66,1606350.52,3.56,0.1556,0.1063,0.4130
717503.11,1606248.89,12.42,0.0796,0.2137,0.5588
717427.28,1606283.43,15.39,0.1602,0.1248,0.3830
717520.04,1606253.07,14.62,0.0904,0.1101,0.3030
717577.23,1606149.85,8.61,0.1122,0.0443,0.4500
717538.37,1606281.01,10.98,0.0916,0.0220,0.2095
717449.98,1606208.81,-0.10,0.3569,0.7675,1.1491
717483.65,1606231.69,19.65,0.0259,0.1827,0.3211
717466.38,1606308.27,3.81,0.0306,0.0348,0.3708
717588.76,1606145.01,9.92,0.0606,0.0273,0.3950
717462.24,1606291.09,7.65,0.0918,0.1987,0.8457
717520.63,1606261.73,13.04,0.0170,0.0159,0.1687
717576.05,1606185.30,12.30,0.0357,0.0784,0.1808
717451.65,1606419.79,13.06,0.1250,0.0243,0.3521
717618.61,1606143.43,11.41,0.0320,0.0297,0.1612
717482.61,1606256.49,4.66,0.4224,0.1157,1.0771
717563.37,1606365.67,4.76,0.2860,0.0787,0.4364
717463.38,1606383.57,8.29,0.0269,0.0230,0.0711
717623.09,1606248.12,5.04,0.0178,0.0174,0.0589
717648.40,1606269.99,14.39,0.0267,0.0837,0.3370
717464.27,1606311.78,3.82,0.0436,0.0325,0.1536
717547.50,1606273.52,9.91,0.1407,0.0458,0.2720
717490.21,1606361.00,4.72,0.0443,0.0852,0.2453
717538.57,1606189.96,13.20,0.1006,0.0790,0.2429
717596.39,1606128.71,10.68,0.0667,0.1246,0.3283
717455.37,1606255.01,10.92,0.0509,0.1171,0.2348
717438.41,1606278.39,14.86,0.1076,0.0888,0.2882
717550.75,1606292.06,20.33,0.0336,0.0367,0.1518
717480.70,1606250.32,19.80,0.0256,0.1835,0.3527
717448.43,1606258.06,12.22,0.0561,0.0969,0.2033
717459.47,1606261.44,9.90,0.0256,0.0601,0.1369
717655.94,1606143.16,4.85,0.0991,0.0692,0.2623
717527.16,1606268.80,12.86,0.0128,0.0127,0.1754
