8back01053 H_25.39998_16.93332
7016 1.25152 0.72407
7017 -0.13175 2.65103
7018 11.60768 8.25941
7019 -2.76659 2.26943
7020 4.15391 5.44916
7021 2.54533 -4.31831
7022 4.09315 -2.15502
7023 2.31754 1.93137
7024 2.73264 1.36377
7025 1.45939 3.73646
7026 -0.09747 -6.76541
7027 2.61593 0.64680
7028 -0.40412 1.41489
7029 0.20099 -3.20421
7032 -3.58465 5.29877
7033 -1.01961 -4.33317
7034 3.82924 2.86488
7035 6.82950 6.79683
7036 -0.37988 -0.46765
7039 -11.58200 7.97550
7040 0.57693 -7.32544
7042 5.15683 0.47440
7043 2.92154 4.46513
7044 3.15223 7.21945
7047 1.98147 -5.04783
7049 -4.99374 4.67492
7050 -9.42848 5.30715
7051 -3.27074 6.83585
7053 -0.66229 5.82802
7054 2.15081 -4.20513
7055 -3.55771 -2.51440
7056 8.77406 7.49120
7059 -1.33840 6.66318
7060 -3.18627 0.16821
7063 8.78125 1.34619
7064 -0.44937 6.26237
7065 -3.58207 -0.93453
7066 11.49815 8.28251
7068 0.53348 4.46063
7069 -1.04612 7.32099
7070 4.39565 4.48727
7071 0.71690 -2.71085
7072 3.14393 -1.58193
7073 1.37454 1.82942
7074 0.07707 -6.05719
7075 4.09659 6.52531
7076 8.58609 -1.88160
7078 0.96442 -1.38153
7081 3.14409 7.60610
7084 7.15433 1.48213
7085 2.68477 -1.87109
7086 8.79108 6.15917
7088 6.15147 -2.09640
7089 11.78051 5.52050
7091 6.08455 6.88055
7092 3.71931 7.54090
-99
8down01053 H_25.39998_16.93332
2174 0.38790 3.82837
5190 -12.23399 7.64031
5194 -12.15439 6.15428
5195 8.26962 7.67214
5202 -8.29086 4.79203
5203 -11.05128 5.05414
5205 -10.03022 5.12279
5207 -11.87050 3.47447
5234 -3.82897 2.41566
5235 -10.23541 3.30069
5239 8.20415 0.90761
5240 -6.67494 2.35714
5241 -5.64506 4.63615
5242 -4.07044 1.08917
5243 -5.63854 0.58813
5247 -2.01262 6.25754
5249 -10.39228 0.74887
5250 -11.64036 2.04235
5251 -1.88145 1.06466
5252 -7.82034 1.44373
5253 2.64796 4.20352
5282 -2.88768 -1.58496
5285 -1.81056 -1.85466
5286 0.96609 6.39724
5288 -6.38644 7.76346
5290 10.34132 -0.90810
