EVENT,Lat_EOP,Lng_EOP,h_EOP
1,14.517284992,101.018621761,4.150
2,14.517284959,101.018621592,4.178
3,14.516207731,101.023092831,203.467
4,14.516369556,101.022984165,203.406
5,14.516540525,101.022888682,203.432
6,14.516696814,101.022801592,203.600
7,14.516856651,101.022712416,203.709
8,14.517021415,101.022620215,203.730
9,14.517179423,101.022532193,203.770
10,14.517346636,101.022436305,203.810
11,14.517503684,101.022346692,203.874
12,14.517660097,101.022257752,203.947
13,14.517823733,101.022166766,204.027
14,14.517980410,101.022079408,204.140
15,14.518145701,101.021986525,204.258
16,14.518302011,101.021898936,204.373
17,14.518467551,101.021804799,204.410
18,14.518630430,101.021713008,204.508
19,14.518787678,101.021624848,204.595
20,14.518945582,101.021534959,204.623
21,14.519110340,101.021441918,204.698
22,14.519269880,101.021352059,204.804
23,14.519435808,101.021258800,204.904
24,14.519591392,101.021171437,205.000
25,14.519750965,101.021081240,205.037
26,14.519906775,101.020993256,205.087
27,14.520075591,101.020898528,205.197
28,14.520227974,101.020812291,205.267
29,14.520393083,101.020717718,205.351
30,14.520554392,101.020626102,205.409
31,14.520715272,101.020536352,205.424
32,14.520880233,101.020441901,205.574
33,14.521034598,101.020355116,205.680
34,14.521199582,101.020263183,205.916
35,14.521361303,101.020172835,206.068
36,14.521521308,101.020084226,206.173
37,14.521679083,101.019996036,206.215
38,14.521845281,101.019902818,206.291
39,14.521999246,101.019816380,206.425
40,14.522167489,101.019719371,206.425
41,14.522320470,101.019632100,206.496
42,14.522483923,101.019538411,206.572
43,14.522640979,101.019450615,206.733
44,14.522806148,101.019359700,206.778
45,14.522962769,101.019271936,206.803
46,14.523128173,101.019178635,206.952
47,14.523284157,101.019089648,207.007
48,14.523447791,101.018996610,207.055
49,14.523611841,101.018904184,207.138
50,14.523769068,101.018815618,207.182
51,14.523933476,101.018723181,207.268
52,14.524096521,101.018632362,207.390
53,14.524253556,101.018543855,207.458
54,14.524410727,101.018456439,207.709
55,14.524470928,101.018423817,207.745
56,14.524461095,101.018418709,207.574
57,14.524348754,101.018261860,207.049
58,14.524257078,101.018087035,206.548
59,14.524170205,101.017919873,206.126
60,14.524088670,101.017764127,205.805
61,14.524078478,101.017742921,205.805
62,14.524077311,101.017756115,205.771
63,14.523915163,101.017875497,205.584
