Name,Northing,Easting,Ellipsoidal Height,AccHor,AccVer
GCP02,1606454.237,717429.126,3.4845,0.02,0.05
GCP05,1606432.529,717609.396,5.6215,0.02,0.05
GCP10,1606169.321,717745.5325,9.915,0.02,0.05
GCP11,1605856.965,717493.8245,3.219,0.02,0.05
GCP12,1605967.607,717691.281,7.979,0.02,0.05
GCP13,1605704.94,717378.2465,0.886,0.02,0.05
GCP14,1605821.834,717647.443,3.7765,0.02,0.05
GCP15,1606008.402,717869.091,9.268,0.02,0.05
GCP16,1605642.458,717567.0445,2.2645,0.02,0.05
GCP21,1605876.941,717326.328,2.015,0.02,0.05
GCP24,1606254.291,717195.931,-0.101,0.02,0.05
