imageName X Y Z Omega Phi Kappa
DJI_20211224092312_0125.JPG 717376.923404 1605463.725594 154.319878 -0.033776 -0.174272 24.992464
DJI_20211224092313_0126.JPG 717367.936250 1605480.952457 154.339482 -0.040298 -0.115701 24.999423
DJI_20211224092315_0127.JPG 717358.247119 1605499.508265 154.372846 -0.048688 -0.068098 25.005573
DJI_20211224092316_0128.JPG 717348.538653 1605518.048242 154.396426 -0.059871 -0.043097 24.999628
DJI_20211224092318_0129.JPG 717339.472817 1605535.315959 154.409394 -0.076496 -0.032608 25.004237
DJI_20211224092319_0130.JPG 717329.677619 1605554.029743 154.425977 -0.089617 -0.030420 25.011287
DJI_20211224092321_0131.JPG 717319.969906 1605572.610494 154.428400 -0.100156 -0.020918 25.040159
DJI_20211224092322_0132.JPG 717310.281210 1605591.193839 154.431156 -0.083084 -0.016114 25.089786
DJI_20211224092324_0133.JPG 717301.271838 1605608.423829 154.435177 -0.085587 -0.020580 25.112501
DJI_20211224092325_0134.JPG 717291.586369 1605626.941126 154.424188 -0.077417 -0.031122 25.121943
DJI_20211224092327_0135.JPG 717281.998700 1605645.186307 154.366502 -0.091978 -0.047627 25.166198
DJI_20211224092328_0136.JPG 717272.839610 1605662.678228 154.375121 -0.085005 -0.061734 25.187348
DJI_20211224092330_0137.JPG 717263.231007 1605680.946568 154.386629 -0.087337 -0.070927 25.197327
DJI_20211224092331_0138.JPG 717253.383444 1605699.710711 154.345131 -0.079736 -0.078636 25.187168
DJI_20211224092333_0139.JPG 717243.805330 1605718.091525 154.332327 -0.087823 -0.086501 25.175453
DJI_20211224092334_0140.JPG 717234.793620 1605735.311491 154.332871 -0.097937 -0.104990 25.158669
DJI_20211224092336_0141.JPG 717225.090197 1605753.774452 154.354713 -0.099617 -0.115818 25.160050
DJI_20211224092337_0142.JPG 717215.271679 1605772.495237 154.368816 -0.104421 -0.122970 25.160633
DJI_20211224092339_0143.JPG 717205.656782 1605790.858536 154.369371 -0.066266 -0.107987 25.167204
DJI_20211224092340_0144.JPG 717196.500711 1605808.325801 154.356051 -0.054254 -0.104353 25.170621
DJI_20211224092341_0145.JPG 717186.810442 1605826.824100 154.349765 -0.045794 -0.106949 25.158788
DJI_20211224092343_0146.JPG 717177.105264 1605845.399709 154.361869 -0.051238 -0.102260 25.157172
DJI_20211224092344_0147.JPG 717167.429219 1605863.892352 154.350077 -0.051818 -0.111057 25.169323
DJI_20211224092346_0148.JPG 717158.341555 1605881.148735 154.350608 -0.045433 -0.118900 25.198546
DJI_20211224092347_0149.JPG 717148.221245 1605900.409871 154.356151 -0.052264 -0.110829 25.213366
DJI_20211224092349_0150.JPG 717138.857638 1605918.286442 154.345119 -0.056788 -0.114275 25.203375
DJI_20211224092350_0151.JPG 717129.186825 1605936.793763 154.358868 -0.067751 -0.117544 25.182083
DJI_20211224092352_0152.JPG 717120.169391 1605954.069366 154.361867 -0.081791 -0.118665 25.168456
DJI_20211224092353_0153.JPG 717110.394697 1605972.666732 154.376459 -0.086243 -0.107633 25.162926
DJI_20211224092355_0154.JPG 717100.827967 1605990.995813 154.394554 -0.087231 -0.125479 25.163847
DJI_20211224092356_0155.JPG 717091.653726 1606008.564046 154.412650 -0.079497 -0.122417 25.157825
DJI_20211224092358_0156.JPG 717082.012666 1606026.977492 154.397405 -0.058034 -0.120719 25.156412
DJI_20211224092359_0157.JPG 717072.004821 1606046.077195 154.413048 -0.030644 -0.114062 25.168459
DJI_20211224092401_0158.JPG 717062.592154 1606063.996544 154.413687 -0.019181 -0.116160 25.181443
DJI_20211224092402_0159.JPG 717053.282532 1606081.667763 154.406331 -0.042636 -0.126902 25.169874
DJI_20211224092404_0160.JPG 717043.465552 1606100.364714 154.379372 -0.056278 -0.119051 25.141597
DJI_20211224092405_0161.JPG 717033.602065 1606119.123292 154.340892 -0.088467 -0.103804 25.139056
DJI_20211224092406_0162.JPG 717024.877687 1606135.705970 154.368920 -0.115432 -0.100308 25.143759
DJI_20211224092408_0163.JPG 717014.946684 1606154.763268 154.372267 -0.118980 -0.099409 25.154113
DJI_20211224092409_0164.JPG 717005.503586 1606172.883695 154.374130 -0.122212 -0.099905 25.155552
DJI_20211224092411_0165.JPG 716995.787572 1606191.432598 154.379007 -0.121594 -0.097521 25.138087
DJI_20211224092412_0166.JPG 716986.584136 1606209.002762 154.364139 -0.112199 -0.103099 25.147102
DJI_20211224092414_0167.JPG 716977.132456 1606227.123331 154.409326 -0.097743 -0.103411 25.170441
DJI_20211224092415_0168.JPG 716967.363833 1606245.819824 154.401029 -0.086589 -0.098073 25.176076
DJI_20211224092417_0169.JPG 716957.693621 1606264.341503 154.333428 -0.095381 -0.107350 25.197085
DJI_20211224092451_0186.JPG 717014.800789 1606287.986546 154.415622 0.214138 -0.033893 -151.236708
DJI_20211224092452_0187.JPG 717023.618938 1606271.212096 154.389098 0.171175 -0.070541 -151.238171
DJI_20211224092453_0188.JPG 717033.281918 1606252.810127 154.387425 0.142056 -0.087524 -151.250529
DJI_20211224092455_0189.JPG 717042.947777 1606234.380453 154.347239 0.158322 -0.095907 -151.280882
DJI_20211224092456_0190.JPG 717052.739392 1606215.590077 154.394231 0.160138 -0.097225 -151.304711
DJI_20211224092458_0191.JPG 717061.725021 1606198.472758 154.419755 0.144035 -0.108013 -151.307242
DJI_20211224092459_0192.JPG 717071.412127 1606179.970116 154.406961 0.135579 -0.112496 -151.300922
DJI_20211224092501_0193.JPG 717081.193896 1606161.267614 154.396595 0.138406 -0.101227 -151.298759
DJI_20211224092502_0194.JPG 717090.779670 1606142.969256 154.451025 0.142485 -0.080743 -151.294650
DJI_20211224092504_0195.JPG 717099.793383 1606125.711448 154.436384 0.140507 -0.063654 -151.265059
