GCP label, GCP measured X, GCP measured Y, GCP measured Z, GCP estimated X, GCP estimated Y, GCP estimated Z, GCP weight, GCP visible in # images
GCP02, 717429.12600000004749745131, 1606454.23699999996460974216, 3.48450000000000015277, 717429.13669287040829658508, 1606454.24143360764719545841, 3.46310448032159046150, 0.99999972260479819131, 10
GCP05, 717609.39599999994970858097, 1606432.52900000009685754776, 5.62150000000000016342, 717609.37888308765832334757, 1606432.54000953072682023048, 5.60177082377530766166, 0.99999955571271281762, 10
GCP10, 717745.53249999997206032276, 1606169.32099999999627470970, 9.91499999999999914735, 717745.51902491902001202106, 1606169.33142530475743114948, 9.91756513235164760545, 0.99999972988638763383, 9
GCP11, 717493.82449999998789280653, 1605856.96500000008381903172, 3.21899999999999986144, 717493.81626119080465286970, 1605856.96116866171360015869, 3.25052146570092803657, 0.99999963884199205566, 10
GCP12, 717691.28099999995902180672, 1605967.60700000007636845112, 7.97900000000000009237, 717691.28920833533629775047, 1605967.60522406990639865398, 7.98662174731685325924, 0.99999981215255939748, 10
GCP13, 717378.24650000000838190317, 1605704.93999999994412064552, 0.88600000000000000977, 717378.25155787239782512188, 1605704.93989116349257528782, 0.87519720196868755480, 0.99999982080988991662, 10
GCP14, 717647.44299999997019767761, 1605821.83400000003166496754, 3.77649999999999996803, 717647.43754707579500973225, 1605821.83609847584739327431, 3.80399584778788746320, 0.99999971942562726479, 10
GCP15, 717869.09100000001490116119, 1606008.40200000000186264515, 9.26800000000000068212, 717869.08855768712237477303, 1606008.39871532726101577282, 9.25983011997253413483, 0.99999983028038419430, 10
GCP16, 717567.04449999995995312929, 1605642.45800000010058283806, 2.26449999999999995737, 717567.05005512887146323919, 1605642.45923012308776378632, 2.26483797795598862379, 0.99999983228144750935, 10
GCP21, 717326.32799999997951090336, 1605876.94100000010803341866, 2.01500000000000012434, 717326.34091909590642899275, 1605876.91229242086410522461, 2.00983493641630817095, 0.99999912887771580383, 10
GCP24, 717195.93099999998230487108, 1606254.29099999996833503246, -0.10100000000000000644, 717195.93529273744206875563, 1606254.29951130691915750504, -0.10527973456092531990, 0.99999981359831835448, 10
GCP26, 717058.76242502639070153236, 1606090.69574302341789007187, -0.43244528412406335605, 717058.81310314696747809649, 1606090.72139040520414710045, -0.14748173562966560013, 1.00000000000000000000, 10
GCP22, 717170.79157108999788761139, 1606353.14172301581129431725, 0.12782109012406728255, 717170.83329897327348589897, 1606353.14040673710405826569, 0.40225639873052410067, 1.00000000000000000000, 8
GCP17, 0.00000000000000000000, 0.00000000000000000000, 0.00000000000000000000, 717883.36939941579475998878, 1605742.58592603239230811596, 2.21249063918727806310, 1.00000000000000000000, 8
