DJI_20211224092312_0125.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0242204, -0.0853207, 0.995719, -0.0233387, -0.0302455, -0.00126505
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00670208, 0.016222, -0.120815, -0.000604596, 0.391543, 0.0262395
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.0129383, -0.0227065, 0.243668, 0.333281, -0.0154842, -0.0100595
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00670208, 0.0218822, -0.272087, 0.00988602, 0.00170416, -0.00602654
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.00137172, -0.000932716, 0.0278213, -0.00396121, 0.00966234, 0.0059657
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00399478, 0.011575, -0.15063, 0.00613711, -0.0084121, -0.00549653
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00721532, -0.000538586, 0.0378843, 0.328546, -0.00523106, -0.0163767
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00820212, 0.0156935, -0.0772376, -0.00408474, 0.362164, 0.0264025
0.0242204, -0.00670208, 0.0129383, -0.00670208, 0.00137172, -0.00399478, 0.00721532, -0.00820212, 1, -0.0162682, 0.0220737, -0.272978, -0.550838, -0.0458395
-0.0853207, 0.016222, -0.0227065, 0.0218822, -0.000932716, 0.011575, -0.000538586, 0.0156935, -0.0162682, 1, -0.0781495, 0.55799, -0.246683, 0.00120747
0.995719, -0.120815, 0.243668, -0.272087, 0.0278213, -0.15063, 0.0378843, -0.0772376, 0.0220737, -0.0781495, 1, 0.00476588, -0.0421354, -0.0100321
-0.0233387, -0.000604596, 0.333281, 0.00988602, -0.00396121, 0.00613711, 0.328546, -0.00408474, -0.272978, 0.55799, 0.00476588, 1, -0.00229468, -0.350751
-0.0302455, 0.391543, -0.0154842, 0.00170416, 0.00966234, -0.0084121, -0.00523106, 0.362164, -0.550838, -0.246683, -0.0421354, -0.00229468, 1, -0.315897
-0.00126505, 0.0262395, -0.0100595, -0.00602654, 0.0059657, -0.00549653, -0.0163767, 0.0264025, -0.0458395, 0.00120747, -0.0100321, -0.350751, -0.315897, 1
DJI_20211224092313_0126.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
