x,y,z,sx,sy,sz
717886.50,1605777.23,11.68,0.0234,0.0151,0.0743
717869.94,1605803.37,13.31,0.0154,0.0174,0.0670
717851.79,1605795.56,24.40,0.0461,0.0475,0.3450
717862.70,1605774.31,11.86,0.0518,0.0367,0.2935
717880.92,1605786.82,15.12,0.0147,0.0117,0.0488
717910.55,1605781.12,10.17,0.0219,0.0106,0.0468
717876.96,1605791.05,12.41,0.0115,0.0113,0.0422
717886.52,1605807.16,14.95,0.0239,0.0204,0.0708
717839.01,1605783.65,3.79,0.0173,0.0144,0.0570
717869.90,1605757.11,2.63,0.0173,0.0170,0.0585
717901.79,1605803.75,12.24,0.0486,0.0288,0.1125
717891.00,1605805.72,17.84,0.0427,0.0210,0.1073
717886.49,1605815.61,25.73,0.0224,0.0218,0.0612
717902.97,1605781.32,8.49,0.0213,0.0079,0.0494
717899.57,1605792.93,14.01,0.0277,0.0137,0.0661
717873.30,1605755.84,2.65,0.0064,0.0067,0.0196
717882.60,1605764.95,13.09,0.0078,0.0072,0.0263
717803.28,1605716.57,2.91,0.0339,0.0355,0.1032
717791.18,1605722.52,13.73,0.0506,0.0320,0.1057
717749.50,1605593.91,1.66,0.0127,0.0205,0.0548
717855.47,1605784.81,11.54,0.0111,0.0148,0.0625
717872.28,1605757.24,2.68,0.0072,0.0073,0.0225
717833.08,1605723.45,1.97,0.0266,0.0339,0.1306
717871.80,1605751.36,2.46,0.0094,0.0095,0.0264
717742.87,1606259.19,9.19,0.0198,0.0198,0.0911
717745.88,1606242.67,9.28,0.0079,0.0076,0.0346
717781.61,1605948.14,17.99,0.0097,0.0267,0.0874
717755.77,1605920.89,9.92,0.0511,0.0456,0.3853
717750.67,1605923.96,13.36,0.0449,0.0370,0.2709
717831.14,1605912.92,19.51,0.0537,0.0114,0.1207
717818.64,1605952.02,15.82,0.0487,0.0462,0.1400
717816.47,1605933.89,18.87,0.0715,0.0448,0.2114
717748.50,1605936.07,9.10,0.0234,0.0280,0.1329
717836.55,1605914.23,20.33,0.2062,0.0408,0.4235
717775.73,1605928.63,22.87,0.0118,0.0249,0.1356
717785.70,1605951.34,29.33,0.0173,0.0437,0.1223
717790.26,1605932.47,15.00,0.0627,0.0810,0.4118
717817.81,1605965.51,16.32,0.0446,0.0549,0.1295
717765.31,1605940.78,19.69,0.0242,0.0690,0.2578
717815.06,1605893.18,9.34,0.0298,0.0307,0.1083
717773.84,1605960.52,27.04,0.0300,0.0735,0.2561
717738.29,1605944.64,15.02,0.0561,0.0462,0.3045
717809.81,1605929.10,20.94,0.1266,0.0259,0.3454
717783.59,1605971.43,25.22,0.0186,0.0374,0.1025
717755.87,1605951.86,22.94,0.0389,0.0951,0.4316
717635.54,1605630.70,11.13,0.0122,0.0098,0.0342
717659.84,1605619.13,1.21,0.0209,0.0222,0.0798
717661.81,1605619.79,1.05,0.0149,0.0168,0.0595
717698.04,1605649.25,1.04,0.0074,0.0071,0.0226
717754.79,1605707.61,1.42,0.0064,0.0055,0.0197
717813.47,1605716.45,2.08,0.0104,0.0091,0.0299
717817.61,1605923.01,11.88,0.0600,0.0111,0.1526
