DJI_20211224092312_0125 H_34.99999_23.32763
1203 10.33879 1.80670
1204 15.42002 2.32620
1206 7.55490 -9.92355
1207 1.97296 -11.31304
1209 14.92679 -11.23903
1229 -3.25485 -10.82608
1351 5.19909 -10.75531
2114 10.69435 -11.19951
2120 10.91060 -9.48076
3648 -5.64597 -7.10135
3661 -9.99380 -3.83487
3750 -8.17036 -7.04417
3751 -11.44741 -7.15443
4291 -15.18864 -7.06644
4654 -5.02031 7.00562
4655 -12.75862 10.08701
4656 -15.70304 9.74280
4657 2.18870 9.12092
4658 -7.92618 7.21117
4659 -16.63639 8.38839
4660 -12.79688 9.82269
4661 0.56849 10.88121
4662 -5.86067 11.25523
4663 10.24354 3.44407
4664 -17.37893 7.49716
4665 -8.29770 9.44128
4666 -4.10452 8.42914
4667 -4.21977 8.33267
4882 -2.00136 1.13379
4883 -0.96403 4.50013
4884 3.80695 2.92152
4885 4.95345 3.60148
4886 4.63988 1.97092
4887 3.11669 5.28251
4889 -1.07533 4.41520
4890 -0.15452 4.15780
4891 9.73756 2.85700
4950 -1.13888 3.78749
4951 16.56612 6.01262
4952 -0.19209 4.52370
4953 5.77889 5.73194
4954 16.24359 2.79134
4955 10.12376 2.63721
4956 3.54305 4.05066
4957 3.42961 3.67451
4970 -3.60146 0.92734
4971 3.29046 4.41457
4972 10.13382 3.59118
4977 16.87913 5.73366
5041 -14.96003 11.53312
5042 -15.76551 11.52475
5043 -11.15578 11.31685
5044 -11.46368 11.19327
5045 -2.00296 7.22713
5046 -10.92970 11.12546
5707 4.55449 8.84806
5708 9.91629 8.08945
5709 9.59027 7.34009
5710 -2.77033 11.09561
5711 -2.74312 6.84816
5712 -2.60482 9.35218
5713 9.73690 9.99620
5714 5.15839 10.98388
5715 10.35090 5.85489
5716 0.33423 10.33298
5717 4.48853 9.89292
5718 16.24359 2.79134
5719 9.71436 10.70184
5720 7.92161 8.50169
5721 10.03703 4.34169
5727 16.64997 5.54820
5728 13.20807 6.07573
6865 16.13901 8.10777
6866 12.04745 8.07781
6867 15.87126 8.55407
6868 9.99423 7.08785
6875 13.43870 11.41975
6876 9.95559 8.98976
6877 11.85860 9.69051
6878 14.23010 10.62807
6879 13.10591 9.89478
6880 14.32865 8.99489
6881 10.07625 10.81144
6882 9.89842 10.67333
6883 16.48491 9.36165
6884 12.05011 10.21206
7531 9.82909 7.08896
7532 -10.22936 11.28841
7700 15.36688 -6.71551
7701 -2.65218 -8.36614
7702 10.52041 -7.43537
7783 5.06816 -4.71124
7784 -4.74714 1.69670
7785 -4.48876 -2.18333
7786 7.73206 -4.56962
7787 2.08683 -5.10047
7788 -8.14246 1.34391
7789 7.61707 -7.08105
7790 -3.03418 -7.17712
7791 -9.56245 -1.22282
7792 -13.62419 0.28244
8817 0.66944 -4.61542
8818 -17.38099 0.02540
8819 -8.85005 -2.42900
8821 1.64467 -6.26360
8883 4.77008 -3.83021
8884 15.43236 -5.55058
8886 -0.09476 -3.61900
8887 -11.97683 -1.35275
8888 -16.70170 -0.78964
8889 15.90569 -2.42771
8890 -17.38602 -2.54792
8891 -10.64069 -2.47073
8892 5.08918 -5.77121
8932 -17.07422 5.73166
8933 -1.15960 -1.29159
8934 13.73559 -1.31445
8935 -15.59370 5.07404
8936 -13.91301 5.69273
8937 -13.51872 3.71031
8938 -14.30148 3.87418
8939 -14.32892 2.58101
8940 -0.36784 0.53179
8941 9.83275 -2.06999
8942 -1.78732 -2.08637
8943 -0.09165 0.35596
8944 -0.15208 -0.41442
8945 -7.69500 5.56144
8946 8.12847 -1.51540
8947 -15.88048 3.60244
8948 10.39418 -1.89147
8949 -12.39044 2.46976
8950 11.76391 -1.87071
8951 12.19117 4.19029
8952 -8.16722 3.64688
8953 -5.19281 6.02383
8954 5.61618 1.54634
8955 11.34039 -1.30096
8956 14.87107 -1.21090
8957 -8.14915 2.72034
8958 2.40138 5.85103
8959 0.31005 0.41916
8960 4.95205 0.11317
9007 -2.41375 -3.61480
9008 7.51324 -2.67278
11387 2.89096 3.78872
14573 -3.79451 -0.09442
14574 -3.51328 -6.18296
14575 10.88200 -6.05330
14576 10.19804 2.11037
14577 -3.57578 -1.79118
-99
DJI_20211224092313_0126 H_34.99999_23.32763
1203 10.57190 -2.64436
1204 15.65139 -2.08219
3648 -5.40323 -11.49468
3661 -9.74297 -8.35321
3750 -7.91289 -11.42633
3751 -11.18455 -11.50451
4291 -14.90043 -11.39483
4642 -11.11047 4.56734
4643 -12.19852 4.22616
4644 -17.07258 2.43838
4654 -4.80088 2.66270
4655 -12.56423 5.71553
4656 -15.52271 5.37918
4657 2.43462 4.66122
4658 -7.69072 2.79135
4659 -16.45239 4.00922
4660 -12.60603 5.43957
4661 0.80041 6.46498
4662 -5.63380 6.80168
4663 10.47899 -1.00423
4664 -17.18937 3.12691
4665 -8.08626 5.12242
4666 -3.88113 4.07760
4667 -3.99644 3.98800
4882 -1.76683 -3.29526
4883 -0.72813 0.04040
4884 4.03752 -1.53874
4885 5.18767 -0.85898
4886 4.86916 -2.48846
4887 3.35388 0.81590
4889 -0.84067 -0.04722
4890 0.07684 -0.29821
4891 9.97330 -1.59624
4950 -0.90450 -0.67364
4951 16.82299 1.64964
4952 0.03864 0.06771
4953 6.02015 1.30171
4954 16.47547 -1.63781
4955 10.35673 -1.80386
4956 3.77745 -0.40309
4957 3.66053 -0.77533
4970 -3.36899 -3.50262
4971 3.52698 -0.03387
4972 10.37028 -0.86050
4977 17.13197 1.37370
5029 -16.73084 8.19451
5030 0.07697 11.31547
5031 -3.17044 10.59427
5032 -5.68097 8.09742
5033 -4.66187 9.82890
5034 0.52937 10.76874
5036 -11.47005 8.14904
5037 -10.01554 10.68293
5038 -12.57504 9.64734
5039 -12.85856 10.83062
5041 -14.78939 7.18200
5042 -15.59784 7.16082
5043 -10.96044 7.02271
5044 -11.27224 6.89923
5045 -1.77608 2.88579
5046 -10.73100 6.82779
5595 -2.98299 9.85235
5596 -17.42906 11.11503
5702 0.69806 5.69922
5703 15.97256 3.59602
5704 -2.42737 6.08040
5705 0.34482 5.03254
5706 7.94506 10.86092
5707 4.81964 4.40996
5708 10.17181 3.66148
5709 9.84370 2.91492
5710 -2.53434 6.61887
5711 -2.51864 2.50186
5712 -2.37480 4.87046
5713 9.99678 5.58368
5714 5.41534 6.54141
5715 10.59942 1.42114
5716 0.56627 5.87306
5717 4.73542 5.46000
5718 16.47547 -1.63781
5719 9.97541 6.29636
5720 8.17567 4.04595
5721 10.27932 -0.10178
5727 16.89555 1.20232
5728 13.46092 1.71029
6856 4.97536 9.94365
6858 10.85307 3.02861
6859 8.03593 10.26920
6860 8.14620 7.33546
6861 14.16673 8.58512
6862 4.75871 9.78116
6863 3.24543 10.92147
6864 5.23267 10.40235
6866 12.30790 3.65556
6867 16.14378 4.20735
6868 10.24674 2.65413
6875 13.72112 7.07192
6877 12.12462 5.28193
6878 14.51337 6.27923
6879 13.37935 5.53451
6880 14.60791 4.62772
6881 10.34054 6.41179
6882 10.16443 6.26789
6883 16.77029 5.02240
6884 12.32110 5.80548
6903 10.21314 7.80142
6904 9.89842 9.81592
6905 13.52352 7.82060
6906 10.40683 8.61275
6907 9.76915 10.92618
7219 13.81716 9.24041
7220 16.49823 10.36946
7221 13.50705 10.51401
7222 9.91154 11.30997
7223 13.18481 9.51879
7531 10.08409 2.64806
7532 -10.03425 6.99519
7783 5.28391 -9.16022
7784 -4.51582 -2.72131
7785 -4.25271 -6.59212
7786 7.94739 -9.03270
7787 2.31409 -9.51877
7788 -7.90215 -3.07963
7789 7.81764 -11.51340
7790 -2.79487 -11.56890
7791 -9.32013 -5.63963
7792 -13.37484 -4.11816
8817 0.90296 -9.03682
8818 -17.13769 -4.34563
8819 -8.59663 -6.82304
8821 1.86742 -10.65852
8883 4.98903 -8.26942
8884 15.60448 -9.93765
8886 0.13502 -8.02917
8887 -11.73874 -5.74064
8888 -16.45673 -5.15513
8889 16.10837 -7.06023
8890 -17.12382 -6.91180
8891 -10.39271 -6.85941
8892 5.30792 -10.20853
8932 -16.87479 1.33983
8933 -0.93097 -5.70912
8934 13.94256 -5.71237
8935 -15.37363 0.67324
8936 -13.70403 1.28059
8937 -13.28736 -0.70363
8938 -14.07378 -0.53813
8939 -14.09589 -1.82928
8940 -0.13282 -3.89280
8941 10.04993 -6.51157
8942 -1.55464 -6.50217
8943 0.14426 -4.07586
8944 0.07816 -4.83233
8945 -7.46333 1.10276
8946 8.34718 -5.97253
8947 -15.65513 -0.80117
8948 10.60793 -6.32890
8949 -12.16068 -1.95561
8950 11.97243 -6.33312
8951 12.43387 -0.24147
8952 -7.94080 -0.77691
8953 -4.96912 1.58806
8954 5.84593 -2.91297
8955 11.55203 -5.72778
8956 15.08530 -5.60323
8957 -7.91551 -1.73541
